{-566767,775556}
{146394,847720}
{-986502,-606672}
{948859,-148035}
{937885,274773}
{8654,-329249}
{-726841,-415018}
{-657103,439139}
{-89003,-791704}
{26474,491657}
{-350600,630473}
{-933558,-33866}
{629598,-869978}
{-386464,872394}
{-602855,693448}
{755226,483826}
{865782,-598127}
{-951952,460730}
{225110,-120510}
{906710,-67107}
{-500014,-211558}
{173310,518281}
{-889863,-554621}
{381315,-7816}
{-350975,-176350}
{-214225,123977}
{246782,-116501}
{-435862,-208298}
{639193,340853}
{-22307,-107167}
{107862,-594257}
{218734,254772}
{-208016,391134}
{586702,-380076}
{278098,505474}
{198685,-686836}
{652129,-687379}
{923822,-142104}
{-974834,-557859}
{-856933,-281775}
{762253,-524189}
{706520,-700937}
{919341,735578}
{438682,-992902}
{-487100,-802246}
{511825,479604}
{717709,717224}
{-850094,158089}
{708907,998299}
{-586542,-437043}
{-424145,660907}
{632032,-990637}
{-852588,-48553}
{774230,-369570}
{-565620,-585078}
{641291,-65058}
{425444,284123}
{-799591,554867}
{930786,123561}
{-388080,200448}
{-944078,123580}
{-295658,728744}
{135442,-313990}
{575488,126930}
{-479405,-49916}
{687718,-539730}
{339055,-218318}
{-814487,-4801}
{-704767,995370}
{658531,-898702}
{-74932,570706}
{110239,-169851}
{-664188,905639}
{-861549,7406}
{-145657,964737}
{-162991,237206}
{-616419,-905182}
{993687,587422}
{-16573,756038}
{892763,-271955}
{-182654,427355}
{-141460,-281804}
{178986,-765760}
{-734578,246733}
{-754040,-625946}
{474296,853344}
{-889995,-654682}
{-53768,-858207}
{622730,799124}
{-238823,88306}
{-845967,278285}
{375531,-931542}
{-195432,-395796}
{-807854,-197596}
{858520,999104}
{-297414,-185708}
{-661372,-239831}
{-102757,-836503}
{-700703,-47767}
{676804,-205803}
{573795,60463}
{369237,-597995}
{628837,177042}
{-491407,-883393}
{-903080,-89971}
{969861,-473060}
{78259,265295}
{537135,145798}
{591197,-11076}
{-501320,-706690}
{243167,93405}
{801981,924352}
{-137019,-229396}
{-977796,-814441}
{260281,811119}
{587833,-426844}
{-200177,-657962}
{-83989,-350152}
{-803882,-98730}
{-457353,-310921}
{-74403,-738251}
{279771,-626754}
{-150926,-855968}
{913288,-436287}
{757731,333460}
{495899,-687377}
{-645668,-424141}
{846187,-734392}
{312378,491289}
{543832,-169200}
{74413,952016}
{-344979,138164}
{519550,944430}
{673736,352227}
{-454911,459423}
{-548428,-740188}
{-184955,8453}
{-868018,942045}
{239820,-967130}
{319361,687509}
{95417,891358}
{300743,644054}
{-56950,575251}
{334289,21682}
{-65413,-766531}
{726288,394360}
{-639633,-69406}
{985283,-316403}
{-425852,-886851}
{488343,747}
{671380,-187670}
{-409936,43412}
{-757987,445779}
{-555516,-487381}
{-720129,-672642}
{313702,-823110}
{-233804,984648}
{-759364,304439}
{598393,-954913}
{-738460,520677}
{-326767,-17719}
{325095,77431}
{-580387,269133}
{-776118,152142}
{320702,-769068}
{159184,547808}
{-602615,802904}
{501045,356020}
{-327036,-228593}
{915839,215853}
{574598,-908814}
{614228,-879136}
{234745,-570493}
{240210,188504}
{-621021,702399}
{351987,986876}
{469157,849653}
{521494,918220}
{-105990,-483805}
{-924988,210645}
{-48142,590660}
{-899439,-168176}
{807571,-679524}
{-447493,-875580}
{881869,-338644}
{827737,54951}
{-602396,-690943}
{-938695,205615}
{201224,-312188}
{93938,-139622}
{869439,-98064}
{-4044,270580}
{217375,-326273}
{-384587,15836}
{956979,-32865}
{126865,438009}
{71753,947252}
{-267560,-585699}
{943019,972429}
{175906,869975}
{-370733,956892}
{-614471,-260802}
{-198005,-504121}
{569146,171459}
{-729326,325090}
{242583,-652383}
{631551,651163}
{-867820,719238}
{754384,512372}
{-167356,-977302}
{-622339,-208731}
{460551,-869382}
{-17400,-705261}
{-660759,964084}
{-982455,618266}
{654883,125825}
{-532133,296619}
{966869,-583350}
{792342,817690}
{-690771,442769}
{918542,-5152}
{24172,-871609}
{-102981,-893900}
{864378,685629}
{176420,132997}
{293166,-250994}
{-26928,-856901}
{-274253,-462869}
{484698,290593}
{-955757,-33996}
{-689076,-853600}
{466119,-986962}
{76973,-822826}
{-873305,-492646}
{179501,-654931}
{-686215,-165048}
{622819,-198282}
{654843,-674311}
{-197173,-934370}
{-104136,824331}
{78287,-69748}
{-757975,-888824}
{430440,909731}
{-698552,-806066}
{567419,936945}
{-792126,-84678}
{657665,652591}
{458877,461410}
{-679577,-525756}
{612052,375027}
{-995333,196144}
{-396535,15254}
{-43556,-704715}
{81954,343480}
{-808441,-538419}
{28490,-359980}
{-567986,145618}
{337314,-259527}
{-842402,26529}
{-494880,-721389}
{30982,411117}
{-215496,-371054}
{-787666,-846752}
{-946302,524223}
{-610967,-212824}
{227485,799426}
{965022,-345821}
{-904739,516836}
{-11812,-567156}
{-201048,-806743}
{884682,323370}
{-378725,863770}
{72932,493471}
{585943,-407302}
{637352,529364}
{-338831,996310}
{11151,-614950}
{-538673,237913}
{112185,-254337}
{964374,-517601}
{231698,856222}
{-822469,-887105}
{535145,38908}
{-499668,261618}
{635681,278517}
{853759,-116207}
{114711,-975354}
{-525650,634890}
{-22525,-574990}
{273134,860312}
{-915562,237754}
{-971436,963048}
{412939,818469}
{276494,751141}
{-823720,507289}
{-737948,-625218}
{151790,-642466}
{-699300,270202}
{-920497,-67089}
