{259803,514767}
{-316660,-359534}
{-990135,678589}
{-161032,-555036}
{-289599,770280}
{505519,60757}
{929845,717177}
{392610,-683399}
{-327530,497445}
{-255937,-287496}
{607889,351981}
{488741,-592872}
{182482,-164849}
{48532,912347}
{220214,652995}
{-557206,-302235}
{571558,47426}
{175158,592066}
{338006,107465}
{-369563,-642086}
{-581989,-240045}
{551042,-127397}
{300414,-421079}
{153784,-779355}
{559993,71335}
{198702,555197}
{607448,881955}
{-881500,529055}
{367975,-131007}
{-958491,727271}
{-75795,153523}
{-908663,-473420}
{796658,-722306}
{726657,50566}
{458665,-311115}
{493561,-840651}
{-646269,-299051}
{267061,382163}
{211670,609435}
{987064,107486}
{-146110,779080}
{-144294,725370}
{-280666,980122}
{-913654,154261}
{-829428,-683181}
{35132,476345}
{119529,404133}
{-687134,-408812}
{378410,743009}
{54536,162661}
{-23362,-146428}
{-552,533937}
{309500,-444969}
{-319460,-109933}
{-525592,582581}
{-62683,82968}
{734783,482297}
{294356,-161520}
{-824740,291733}
{-164135,-173772}
{-561286,336766}
{-58553,356735}
{-997764,-833870}
{-967708,-20040}
{-742816,528808}
{184294,391888}
{-553774,-871326}
{27789,710044}
{182337,-506821}
{49007,380533}
{-839870,-144217}
{131241,547067}
{703593,-948227}
{-803202,452420}
{-60734,-111883}
{-887342,714598}
{905737,-347567}
{-121972,38513}
{461002,-806419}
{383986,503298}
{-984858,-12465}
{828638,-182033}
{-307129,977895}
{634343,-782648}
{950910,-531822}
{-376813,-71723}
{271565,948558}
{-787125,261629}
{940379,-78540}
{775978,658387}
{-72988,-796076}
{365773,802909}
{-227436,-908064}
{423565,479064}
{-894927,-387679}
{-916476,972533}
{960402,144369}
{-348644,-337985}
{-476037,-165962}
{-231283,-195490}
{822101,99968}
{120339,-977794}
{525152,-215816}
{-533281,816982}
{-276419,267060}
{-282606,565195}
{776106,-637451}
{-737027,-503107}
{454995,323292}
{219105,-627599}
{-185058,-222884}
{68762,730520}
{-519715,-970245}
{-121125,597963}
{-303595,941618}
{-68355,-636748}
{-84798,-135682}
{298125,-85160}
{-125196,720021}
{866409,-539140}
{-966620,-225443}
{81822,-21973}
{577320,-981538}
{-445315,206023}
{615324,352516}
{141985,915131}
{782719,-979640}
{-122690,-72249}
{65162,214053}
{-158097,-569401}
{-236616,418090}
{-687723,-730544}
{-521317,-734995}
{557735,930484}
{-322275,-508080}
{947401,-571273}
{433519,196547}
{58351,-845533}
{-835386,-976899}
{924735,863153}
{-827500,109353}
{285271,244187}
{986958,89509}
{369594,-983920}
{-964608,913229}
{-464914,836425}
{-59383,341906}
{557763,-948669}
{-321705,-288996}
{134856,251520}
{-803949,-93169}
{38809,-13654}
{-776055,63373}
{722643,59766}
{750120,-284643}
{643730,730145}
{328331,-127908}
{-70823,-140498}
{-757456,85313}
{-829256,-318181}
{544349,883278}
{-281352,-567517}
{381715,-376354}
{122469,27877}
{-644138,-950986}
{53712,-108232}
{-843651,-607433}
{329511,-315215}
{307167,177850}
{-660037,656991}
{634526,585696}
{176841,726295}
{287858,-572939}
{-805763,671238}
{-911715,-359318}
{722783,-633584}
{391525,-655468}
{-75301,-611813}
{-901301,985322}
{329580,936120}
{-425896,-996008}
{708728,-399571}
{-982914,-380166}
{-951921,254144}
{-862183,913507}
{-777569,-684310}
{722827,-794010}
{-899747,225343}
{-757686,594300}
{-925594,-123853}
{789758,614202}
{-73267,603623}
{-333457,909933}
{42448,-308394}
{782372,373181}
{-351032,44759}
{-338374,-612130}
{-669928,690974}
{-277001,201363}
{210520,804218}
{-840615,692002}
{-826891,-685338}
{139798,-809880}
{-694041,-636548}
{-530697,-814882}
{503160,660310}
{-848029,-648929}
{703658,639525}
{-685795,464334}
{850422,640447}
{245188,-999550}
{341964,490143}
{403274,-73286}
{847878,205094}
{-632268,272955}
{-307169,-917196}
{762506,24148}
{-568200,121645}
{-633421,789617}
{-275791,-848046}
{-621783,103998}
{-691927,202565}
{163115,178618}
{906500,500248}
{-995843,-800431}
{707491,895931}
{-561770,-834795}
{483805,-553625}
{122671,612247}
{-485215,-657291}
{327331,-155613}
{-450222,-421334}
{-698757,-528606}
{180838,-265657}
{-147081,617169}
{301791,-773473}
{346916,-276059}
{237530,998960}
{806258,835690}
{810434,739543}
{-515786,433936}
{-729684,-957732}
{-318544,26150}
{264193,-563297}
{-703842,-961739}
{291206,543231}
{-633770,872443}
{-154442,-990393}
{917132,-885352}
{160920,-523580}
{-936483,99799}
{-867853,-367282}
{-20951,550065}
{808217,-446620}
{472216,-404690}
{-968046,815386}
{337910,50491}
{-62319,496794}
{-160799,-754975}
{-296688,-637346}
{969776,666796}
{799206,738478}
{469476,935080}
{575249,-841197}
{-488201,448988}
{-984258,104819}
{60874,-692209}
{-500549,712201}
{35463,766815}
{-10910,143090}
{203958,-954906}
{347133,-729365}
{-206289,-422852}
{-642634,-335603}
{905964,-98069}
{-875865,395335}
{-707765,-264497}
{-222941,236059}
{4255,724606}
{505566,705222}
{-150821,-902401}
{174244,-533963}
{302814,5219}
{-960802,127006}
{599703,-424240}
{-317589,768043}
{-369763,673232}
{983617,587183}
{543526,446392}
{246086,-797977}
{-649386,-764579}
{722250,-797252}
{801587,-663096}
{400290,-441019}
{442285,-645381}
{529703,78837}
{-240645,309497}
{-542583,591131}
{429169,-839154}
{-765793,991870}
{-376396,686554}
{604602,-65237}
{-278821,-509786}
{-980180,-918751}
{-632353,744556}
{-854221,-922403}
{209894,-471806}
{-916461,-543065}
{637140,106541}
{912689,807128}
{919396,37032}
{424036,-638900}
{-702530,786823}
{237640,877138}
{470780,423220}
{331117,198597}
{751401,-728498}
{995417,374097}
{371037,-332887}
{-403911,888461}
{873741,700189}
{903007,-558914}
{-444768,279527}
{-985417,262641}
{-301761,919405}
{45262,730490}
{-223130,-248371}
{72161,251980}
{330614,-575781}
{566493,-644407}
{153826,-305644}
{439056,913058}
{-77922,-556494}
{-125962,539484}
{387358,13131}
{-443186,-442419}
{254278,562920}
{-189892,869030}
{-649759,519959}
{-779958,-348130}
{783977,-981065}
{-228606,-814530}
{345402,-630982}
{-129771,117886}
{91600,723320}
{-406631,662210}
{804023,-663703}
{-652184,-441860}
{953457,901599}
{980472,-353525}
{580788,-151460}
{576408,94609}
{468652,986500}
{447277,-450172}
{-867878,-353779}
{-681206,-511720}
{-255562,-853724}
{166445,-80406}
{228754,-457792}
{19712,-991670}
{407329,-363646}
{-145377,142904}
{-964692,-570315}
{-810821,-799059}
{-13852,302417}
{-897029,927530}
{-133189,-449444}
{-974722,-159764}
{-456281,273655}
{374227,-651912}
{913242,503314}
{-822760,-790445}
{-992153,535408}
{512684,-51963}
{885259,-835773}
{-498019,-760530}
{-37445,-592956}
{-450743,787589}
{-985593,606545}
{-630274,163463}
{45349,67106}
{198808,759404}
{175974,944046}
{-109211,-146791}
{257258,-595328}
{-503114,627483}
{-710819,334058}
{668017,-517}
{-233391,-308398}
{-223691,-34764}
{181477,592158}
{720384,-992844}
{-515696,-241141}
{8087,544515}
{621152,96996}
{-413093,39532}
{202136,-597183}
{452731,862493}
{129256,480394}
{-230598,864282}
{98408,-283603}
{-974047,-862400}
{225190,921365}
{-93908,-321765}
{-345826,277371}
{587894,469763}
{631512,603789}
{-460394,126903}
{91992,-183796}
{275623,-179736}
{524090,-176094}
{-580497,-951043}
{453806,761879}
{886776,277348}
{-218798,-417396}
{-867707,-237993}
{991805,-25737}
{504983,-286739}
{343572,684070}
{997692,368892}
{-382024,-11695}
{-880912,305586}
{688680,297400}
{304280,-516085}
{-994181,82011}
{-302793,-565235}
{-387082,88934}
{402916,354769}
{107095,-572239}
{655508,124715}
{637805,-419073}
{-476008,756670}
{513979,6350}
{-244430,463138}
{820890,534785}
{-528397,-527244}
{256018,660498}
{-14305,292712}
{207329,-112695}
{683942,190524}
{-745044,-14693}
{-286959,-657986}
{-66901,850153}
{600824,-267788}
{-995379,323866}
{-231999,-180294}
{365362,-159663}
{-199352,247224}
{65562,-970869}
{-295246,-978870}
{340124,994444}
{724918,316289}
{709018,-248480}
{-775233,-898844}
{240262,708398}
{445693,-421008}
{254538,-900776}
{539230,430431}
{-227165,338801}
{-724105,190879}
{-332244,-892638}
{-386632,285070}
{-368487,622006}
{467589,362434}
{953390,790410}
{-661353,408972}
{-682714,-359100}
{958362,358440}
{26336,-916582}
{561058,595360}
{195119,-780723}
{-778879,903334}
{406365,-780386}
{-951583,-474735}
{-974130,559614}
{-939313,-741596}
{-687630,934116}
{-896828,215230}
{783840,-791654}
{-657609,331984}
{-907231,168690}
{-820228,11608}
{32758,763847}
{-526274,-493217}
{200617,-499590}
{-993807,226391}
{-266271,-858863}
{713032,24853}
{-821716,516074}
{392467,-473299}
{-135902,952794}
{-779586,-913078}
{-391842,114646}
{682986,681793}
{-359082,391636}
{250000,-729375}
{165531,232158}
{291629,20221}
{-979601,608206}
{937524,294887}
{-489449,-752012}
{-269070,-640190}
{-492958,-737264}
{-485314,333174}
{-230585,245841}
{307788,-986744}
{757576,602073}
{153231,61463}
{-824992,852113}
{284278,-277711}
{561127,557194}
{518612,-734285}
{492698,308410}
{-764688,-124873}
{408602,772862}
{-142404,760011}
{684799,-98456}
{-622925,-301812}
{909642,-267491}
{-786372,-214450}
{18901,116554}
{-855013,-342851}
{486872,380946}
{468537,-633670}
{753080,159411}
{626793,-597055}
{838728,520186}
{-421820,-422668}
{-294495,-742810}
{299148,-931622}
{719873,-452294}
{972025,-378743}
{-818090,-138107}
{-36376,536814}
{155205,18702}
{-310135,17746}
{17590,272637}
{883216,139756}
{-553825,-828496}
{678014,769453}
{782392,-496483}
{-198219,-212372}
{608796,-448949}
{709444,-42060}
{264250,562272}
{37455,269052}
{-331077,-117129}
{823286,-60691}
{349639,424445}
{108969,-419781}
{386391,-673696}
{372425,-341367}
{30453,302640}
{642666,-177687}
{187739,501332}
{218396,-616701}
{637696,-634392}
{-714962,501429}
{959903,715686}
{890881,6000}
{-479191,26240}
{917332,-614098}
{17243,-116094}
{714451,-322174}
{810940,135810}
{47737,664253}
{849363,895465}
{955492,698575}
{-247104,-75038}
{-447241,-788005}
{-360064,737123}
