{-117490,593747}
{-226564,-556330}
{822528,811457}
{-705432,292125}
{-908166,117244}
{367759,-987763}
{710785,198532}
{921417,-272125}
{637954,-776601}
{-699830,537443}
{844018,218878}
{-72979,457129}
{679064,-771306}
{647346,931774}
{-410613,454692}
{495211,926434}
{629688,-516182}
{-554464,-888874}
{-921023,503430}
{-137254,-493647}
{571931,381640}
{-542519,95905}
{962219,-322159}
{314413,627592}
{470127,-829117}
{-715897,-460071}
{-862740,-149421}
{-961059,334812}
{426519,270765}
{-66864,-440669}
{-954267,-5010}
{-529920,768279}
{-294875,543137}
{-352383,166190}
{3707,-733617}
{477178,-16253}
{340378,-391234}
{-690688,-436324}
{113229,950633}
{-110935,161695}
{353305,935081}
{-263538,-439311}
{453881,-750510}
{-796854,-871755}
{90780,544474}
{-613390,-944921}
{-459131,888269}
{651464,-494375}
{-791795,228956}
{567725,841077}
{-396692,-989665}
{395347,849277}
{642907,267594}
{-930046,19914}
{626568,-996241}
{-476646,-801299}
{957070,842272}
{254020,-583399}
{-793433,881257}
{-952982,-193406}
{-161281,889183}
{192014,517502}
{-335779,133611}
{-522857,117863}
{2164,41719}
{-161981,-943896}
{235180,-181192}
{592684,-821048}
{-354097,882292}
{-137826,401692}
{-432035,841529}
{-988714,-990317}
{-438026,-284060}
{694153,592420}
{571608,-154492}
{666709,436756}
{-204268,-603917}
{237340,-852700}
{-540912,179765}
{172119,-557501}
{720617,-247152}
{588017,-862601}
{-650183,-360914}
{511131,856197}
{-153716,94493}
{465722,-97430}
{159919,-573258}
{447277,-979184}
{490819,-101162}
{621405,793958}
{499355,106978}
{471042,-244385}
{941788,-52813}
{-323069,969641}
{464437,-852026}
{-192156,-116607}
{94542,317309}
{218531,-506034}
{-784638,246872}
{94686,-917437}
{-867134,-480981}
{-157491,191689}
{-512019,-570641}
{393423,424148}
{942017,240912}
{371223,-396933}
{878458,-930040}
{-172060,-46615}
{-336224,-266394}
{15215,-671141}
{20298,-268407}
{-966029,457185}
{-471011,587092}
{-963543,998095}
{-146329,370641}
{-294108,-394582}
{981851,679545}
{637559,561299}
{110966,108577}
{40760,503539}
{782359,872505}
{74655,143398}
{835731,576372}
{449794,-797169}
{150429,-984208}
{864398,964345}
{893712,570858}
{675682,-964743}
{683527,-240939}
{-226345,16164}
{-416875,710414}
{81989,-853811}
{539794,538906}
{-383524,-898055}
{613170,-730207}
{61808,783891}
{-50695,540516}
{446166,-857617}
{667717,-248209}
{-631111,19123}
{940038,575096}
{579778,637796}
{-942063,518797}
{-99950,-786205}
{-364516,464685}
{401901,-192221}
{-927331,856322}
{60949,-247845}
{951973,-880047}
{-296091,761696}
{404344,-797523}
{138678,-173439}
{-428947,832375}
{-997425,-937464}
{983526,520194}
{-706229,82460}
{590981,-226950}
{-480349,-162224}
{-306138,-425986}
{-61972,466510}
{-274548,-840267}
{841980,715226}
{-90015,-906979}
{3458,-491444}
{-470445,-518510}
{-225540,872486}
{-158979,-494993}
{416396,230370}
{-297386,-481415}
{-366867,1869}
{950560,808624}
{416786,66956}
{-18462,356524}
{784699,812679}
{45980,201627}
{787674,-190319}
{539634,261423}
{386874,-918881}
{-690641,-809951}
{-27571,-513157}
{-980872,-327034}
{617189,-746246}
{447384,-681045}
{416869,357115}
{-580097,418501}
{881831,822904}
{-64885,198397}
{546759,-656990}
{-99733,811699}
{642236,417090}
{-542816,-361675}
{-487998,953187}
{-855827,-553565}
{-227568,865627}
{-564821,903409}
{-294076,157709}
{581421,-147730}
{564351,831775}
{181454,-585351}
{-949238,774545}
{947223,-98219}
{260077,-985743}
{546369,454977}
{486548,-271253}
{100594,810124}
{502303,290611}
{872346,390207}
{-451497,182145}
{11360,610509}
{-762710,-96335}
{522401,186523}
{-682498,-76917}
{395259,-966537}
{565938,-618317}
{651608,296865}
{691774,538822}
{-277874,493071}
{-782581,-868162}
{177717,313930}
{30960,161806}
{-314888,-360779}
{-903989,837609}
{24617,177199}
{-131983,-938025}
{420850,968941}
{-57500,26910}
{410286,613932}
{768688,-904464}
{422579,-1399}
{-281336,400662}
{491982,540843}
{-849380,-552322}
{428463,-992159}
{-395362,758180}
{-396909,283892}
{-666348,-286170}
{972097,-452492}
{645077,-77884}
{986513,-798023}
{-616095,-624621}
{908605,567519}
{672847,628114}
{-216308,753851}
{618861,527080}
{-327590,362889}
{869724,-146724}
{-578000,729127}
{-332089,757151}
{7524,544659}
{168867,-750127}
{603278,-304830}
{-543998,331594}
{329981,-881254}
{-172255,-574440}
{9722,981349}
{-175812,101003}
{100167,382208}
{855434,691210}
{-154811,-199348}
{827950,-607396}
{-780924,357636}
{-72124,-740432}
{-272641,942157}
{-15777,150289}
{725821,421978}
{183331,-558464}
{-109227,73950}
{-844252,-95107}
{-725494,-96852}
{940318,-397964}
{114562,-179910}
{-420279,764784}
{-899696,-245852}
{299949,-939669}
{-117625,864852}
{731964,105551}
{449701,-773576}
{-595187,121475}
{548659,358588}
{668585,-633537}
{-828632,169806}
{720704,-56255}
{160091,-318706}
{918066,349513}
{-663660,-276284}
{331626,-487095}
{736144,886223}
{6052,491508}
{436147,-481764}
{-807787,-32179}
{496125,859933}
{812141,-300456}
{-369532,771646}
{-529997,-618443}
{141421,707868}
{-61422,-19156}
{897688,691420}
{-75937,-673352}
{-111482,-504752}
{779729,436422}
{418946,405917}
{-503807,-733584}
{47523,829701}
{-159326,125015}
{-868276,-280987}
{-58532,34775}
{524621,130635}
{-863235,-9108}
{812125,231123}
{-439385,-998159}
{924658,114353}
{-713715,-177995}
{574302,44703}
{-450319,358346}
{-137504,-316288}
{93038,-282919}
{740422,-258092}
{-515748,703713}
{639609,79886}
{-94433,453813}
{-753863,-338568}
{96493,-216120}
{-704396,-234736}
{-376304,-739595}
{-68696,-333530}
{-809436,-580347}
{892309,-802368}
{-955113,173976}
{-273196,950156}
{727959,603687}
{217183,748287}
{-393077,-747212}
{-522566,564716}
{-154984,781046}
{-323794,71032}
{876593,506381}
{794553,519477}
{659811,-473364}
{-998587,507480}
{-746530,371936}
{372433,119596}
{118713,130207}
{-39553,239913}
{483247,65933}
{-239829,837309}
{264073,295133}
{-569321,-654322}
{575804,621945}
{481409,-512652}
{-679182,561128}
{-881098,-634881}
{584335,-160643}
{841724,242303}
{-827124,368455}
{858548,-749294}
{86033,-938087}
{631278,204562}
{-612097,547695}
{122229,376038}
{-920389,567727}
{-571631,386407}
{865965,-832198}
{333137,-714362}
{471228,23610}
{-621687,931465}
{-30860,-763977}
{-698734,378153}
{713694,-418233}
{-274408,-721078}
{78001,420383}
{-171764,348807}
{305692,263996}
{-119088,-679662}
{-711619,340037}
{-102151,66473}
{-182569,-138167}
{289345,-152848}
{931019,296983}
{-226475,-745774}
{536706,496545}
{242230,842742}
{656843,-401200}
{-937968,-611837}
{952379,-614514}
{-609249,-127569}
{-859093,161549}
{588842,-654733}
{435592,-818341}
{-845983,668670}
{880859,-780318}
{537542,457863}
{-660658,-250142}
{358237,-328672}
{-839263,-821396}
{-916044,-72150}
{-627406,-66456}
{-588571,494713}
{323494,288256}
{704184,-387954}
{-336994,634747}
{-52806,912561}
{-972140,-320172}
{-247083,758318}
{838312,-384877}
{596898,-414811}
{-191619,-336925}
{-967685,-779144}
{-881474,-518409}
{414309,-826348}
{-720423,311630}
{94340,-360495}
{931720,359533}
{661960,486007}
{995911,-267882}
{-66309,823772}
{497915,400562}
{-810148,-335671}
{-410428,-16576}
{235747,955919}
{-640942,-733082}
{126794,-674980}
{79018,123299}
{-508387,611609}
{-807751,-955525}
{-276079,-185467}
{938496,709774}
{-97613,-378707}
{-499642,559956}
{-367875,-267641}
{696297,-629219}
{375009,-247983}
{-289997,-837657}
{-13201,771082}
{-262166,162937}
{665046,-616834}
{690431,-309623}
{-411724,-542197}
{-523702,-349702}
{-449242,118469}
{-319692,823814}
{-16248,803090}
{-594249,638193}
{26170,942481}
{950315,-811906}
{-384866,507058}
{44017,-844279}
{-454446,750997}
{-437373,-107031}
{-206703,250534}
{394648,578745}
{180752,174418}
{-810329,-530104}
{858927,140761}
{-893923,951702}
{-466287,641005}
{-314507,394279}
{695157,-322162}
{-570538,547621}
{-940632,-919356}
{226863,983154}
{486621,544231}
{145953,-765910}
{-235629,-34398}
{-710450,-589845}
{110488,-13909}
{331413,-950816}
{-802069,578503}
{-319629,151719}
{722569,742292}
{228881,-999261}
{952116,533145}
{499334,68170}
{553496,809348}
{162108,193952}
{-630333,-30107}
{-852610,-311710}
{914777,-962200}
{-80703,-126667}
{-32117,732382}
{301301,178272}
{-919630,-258205}
{266281,82913}
{743111,-883574}
{-813348,207897}
{286285,908780}
{687054,436805}
{250757,-287621}
{488237,-406855}
{972012,8102}
{154216,-171904}
{-722537,48545}
{-287760,-819506}
{982037,-978032}
{800731,906761}
{102521,122044}
{-697273,-35622}
{230959,-944575}
{171740,-319501}
{-690456,-467159}
{-661488,589260}
{-533448,-312615}
{500627,941164}
{969256,749405}
{-110607,372811}
{-865751,-282239}
{470863,968766}
{6786,176532}
{759587,830298}
{-851583,-182711}
{-399287,-510855}
{187083,553569}
