{-472650,-263508}
{648964,312767}
{374624,650968}
{676370,-628645}
{605033,-941207}
{300631,-289576}
{-615978,373569}
{527350,-573540}
{194190,214483}
{-250103,-848524}
{463984,850771}
{729221,-142237}
{595729,880202}
{-782870,-533788}
{-927274,172135}
{-171348,491622}
{101222,-245690}
{751855,-976053}
{-112203,-911691}
{824737,-694178}
{174370,-353823}
{781155,874587}
{-313466,200050}
{310896,887351}
{-916276,281942}
{-227253,-920969}
{603316,699381}
{886587,-885517}
{4935,-536697}
{-645450,531517}
{-495004,-443730}
{-941738,-736517}
{-982621,44642}
{794953,-586330}
{-798270,-863320}
{716267,-782812}
{-25175,-62789}
{767791,629541}
{362871,587193}
{-441351,681121}
{-860667,670844}
{-691374,90886}
{-579882,-211497}
{740041,-54348}
{-832317,-954341}
{-229943,899900}
{694151,-415922}
{847800,-77972}
{-341305,401084}
{-5989,40820}
{-446176,400519}
{-246626,469932}
{-90504,234548}
{526652,-950262}
{658539,874804}
{-500225,-251804}
{-701592,-392707}
{663358,-330450}
{-204343,332748}
{222835,566912}
{-745451,670786}
{972907,11405}
{-542729,-174783}
{357484,-921482}
{116473,322154}
{-266214,407863}
{-420572,440026}
{-61790,-993745}
{326897,-116343}
{841076,-449748}
{-50955,945257}
{88116,-23012}
{-699425,-21419}
{-516270,954696}
{688394,-617247}
{-920159,594424}
{312520,65357}
{394013,-55899}
{-658136,408906}
{386393,-506341}
{777085,569956}
{-475542,-267194}
{-919373,-432619}
{-532431,-605085}
{774809,35545}
{704047,-650789}
{611101,663934}
{-491614,120310}
{698034,599052}
{733417,856011}
{-306185,-529318}
{-352671,720565}
{323344,-333299}
{-366055,-908073}
{562283,530147}
{-260779,878093}
{859224,650889}
{380389,282428}
{314028,-43688}
{946149,-312677}
{38862,-815382}
{-148563,419071}
{332459,801741}
{636675,70551}
{-193976,-607037}
{265337,779438}
{219710,283062}
{-105878,-953850}
{-278714,-68157}
{529684,-693622}
{-473445,-973882}
{212194,124516}
{-321370,980536}
{-658017,-721571}
{-101598,-562084}
{637371,870717}
{-840663,898860}
{463100,-750989}
{606343,-83663}
{-806301,-224707}
{-976733,-751377}
{2215,549475}
{996079,-348289}
{-664491,586532}
{-194877,-393998}
{77872,631521}
{906856,21251}
{960364,-877826}
{-488200,-608843}
{-620648,631228}
{788376,768675}
{-235520,-995018}
{-840599,125372}
{-89500,-639685}
{-509077,-265011}
{-425393,-443534}
{290538,441007}
{-247693,46411}
{88749,44432}
{-688793,791665}
{983963,-484860}
{192430,106818}
{785480,-207945}
{-33164,642966}
{740854,-753388}
{193206,61613}
{-133384,643224}
{182493,870067}
{351925,-758419}
{479471,282860}
{755565,512823}
{660783,-149430}
{276759,945682}
{-221115,788920}
{150339,-695176}
{867031,17788}
{438669,-800310}
{-159942,220089}
{-92474,-741234}
{444198,-191893}
{311980,-227921}
{-663369,-924595}
{-967483,665041}
{-703512,90468}
{977535,578820}
{-492447,89981}
{87319,856679}
{-240378,-807973}
{704645,122452}
{-89733,-218721}
{-703816,410229}
{-566590,68007}
{391474,-718599}
{1233,987343}
{676793,-657069}
{-929591,506528}
{-19434,557747}
{-231525,-684884}
{-660229,-861167}
{595809,-807941}
{612999,908203}
{-853618,-221284}
{776564,484580}
{-861894,377388}
{657087,27494}
{711603,823952}
{807490,154148}
{-651291,427580}
{-7127,-878522}
{749827,-428154}
{15157,-751044}
{-940841,313877}
{-582065,5037}
{-572249,-220997}
{-551106,820036}
{-855733,466685}
{101896,279103}
{-482012,896613}
{-656990,-411219}
{813086,714257}
{584966,244316}
{66782,-573952}
{358957,820284}
{678601,-596049}
{669175,-669219}
{-619407,-685354}
{250485,392727}
{858667,495719}
{826278,-637846}
{-723847,-29447}
{642783,297493}
{173699,-620380}
{-805692,512559}
{373928,-219994}
{849984,-724982}
{-238204,-189281}
{-479235,-476041}
{557424,-285885}
{-392219,-40089}
{-513918,-408791}
{-468566,-781706}
{-156260,-985406}
{-132920,233393}
{-449587,-954106}
{768301,131902}
{972634,44431}
{-38163,-449269}
{744990,-908689}
{-816408,574549}
{692095,-15910}
{788841,-233138}
{-708977,167248}
{654388,321501}
{-753937,510373}
{-968953,344181}
{854701,964496}
{-461763,-680776}
{617498,-15871}
{464489,681764}
{-954752,-169241}
{-185160,-754660}
{-375174,731197}
{261674,95066}
{883745,-305982}
{117105,-17864}
{201943,696439}
{-319743,876896}
{-745713,402133}
{55378,388469}
{977324,-811678}
{-750541,873872}
{-3305,498293}
{685111,892013}
{586892,71984}
{966654,699629}
{-513515,161738}
{-295552,554945}
{225371,30372}
{310365,128697}
{602597,-952581}
{661646,-211759}
{-433043,155172}
{-751122,-149061}
{-993561,-389028}
{898006,598987}
{347594,-136288}
{52102,8628}
{-410474,-497904}
{-324300,839157}
{511905,712538}
{-886128,83161}
{-209396,205798}
{934662,-267778}
{-952645,-977213}
{706050,-696445}
{-465548,225641}
{-422511,102689}
{96124,-715942}
{195324,898938}
{-789791,30621}
{946521,525206}
{739464,422410}
{-6758,-80535}
{-350202,299153}
{889474,-707128}
{254067,-4848}
{259170,-372611}
{-45521,810412}
{-257130,891206}
{-356536,442107}
{469469,872600}
{-347318,-110882}
{610594,740890}
{278078,-351051}
{168023,-623208}
{163893,724085}
{287737,-936116}
{-965905,-44565}
{-937864,292042}
{-644417,40472}
{739433,156670}
{-564099,591758}
{-749883,982666}
{167084,371797}
{-359039,-136092}
{-723134,-797315}
{-134822,-983178}
{-492280,-71247}
{842011,-767723}
{-735640,-175229}
{-92944,-436297}
{-901644,-233349}
{-153005,622624}
{68599,-574135}
{-27793,-19658}
{99461,270284}
{837323,-903079}
{-915986,95483}
{-791701,787459}
{-376872,-991025}
{-908749,-924517}
{-552085,-736267}
{-574463,-99950}
{-365330,170893}
{445240,-812614}
{-189277,407154}
{476875,-674321}
{733920,902124}
{-797492,-175514}
{362290,929454}
{-667706,-129175}
{-955137,272686}
{-892539,280100}
{-30394,62793}
{-400366,879516}
{-439458,813953}
{-163777,-105025}
{901247,981319}
{619381,157485}
{-447560,493392}
{552470,-458912}
{979246,608633}
{295818,32396}
{-825286,-9223}
{872814,-33628}
{-704226,380011}
{-643939,416622}
{-4667,-468595}
{-202004,-658501}
{-967712,560862}
{792281,-35803}
{476606,606628}
{196274,-641979}
{-173701,742605}
{596486,-946137}
{-587739,-676789}
{-860738,-489492}
{602424,128976}
{162111,530770}
{246804,506635}
{-296153,-380576}
{207603,-324493}
{319405,-405241}
{-203860,215386}
{-935819,411545}
{-273731,451446}
{742299,111557}
{-638112,-469180}
{-285305,441118}
{491436,815496}
{-554739,754984}
{-821266,-860195}
{-193746,332325}
{-849259,421818}
{-802985,99159}
{-188566,-412360}
{-936594,485279}
{656087,-275869}
{558510,524923}
{1221,-173857}
{-693856,-699444}
{-808452,-653171}
{691636,-571032}
{-839168,872572}
{873868,-722290}
{-695624,777778}
{29010,152407}
{206317,262197}
{-832447,-961786}
{601402,252334}
{885785,173238}
{325256,500713}
{-440659,-766076}
{221160,390415}
{883553,-317400}
{387585,27040}
{541238,379429}
{122281,-954176}
{-973628,733018}
{210221,535005}
{-975232,305661}
{-363432,965061}
{275896,373852}
{380556,402012}
{-908218,582932}
{-931703,38563}
{-701519,-759711}
{42309,-81119}
{-114294,732431}
{-119855,280209}
{-16949,-577733}
{573453,837799}
{-761186,512168}
{-994837,635217}
{359311,-126595}
{208142,937661}
{-631494,-355661}
{404581,-665601}
{-289932,-819037}
{223077,-863555}
{-114564,-232649}
{-481952,-324256}
{299791,279883}
{177064,867369}
{406134,-559908}
{377399,232246}
{-987341,-567715}
{-745116,-750179}
{-843990,-487581}
{-369192,204204}
{-781187,695416}
{-220129,-766809}
{-822812,955479}
{589223,-386041}
{794505,823980}
{-422023,436299}
{-75484,-147453}
{254215,632158}
{354243,512152}
{-927356,756134}
{-642676,468878}
{936335,-845461}
{845674,307458}
{280596,-570708}
{186136,837755}
{-588317,512752}
{-834485,-72430}
{-822363,30506}
{-58675,733936}
{-872803,762848}
{-285834,-504671}
{-332561,959509}
{830539,514547}
{785674,-398414}
{570701,-381998}
{299408,-413600}
{911889,-390091}
{-763930,21665}
{260242,171691}
{-638714,-148499}
{928462,888109}
{727343,852793}
{275866,728106}
{-165793,970356}
{326239,-899371}
{-550384,176930}
{484371,-440428}
{479820,592337}
{288972,-159414}
{-803967,832858}
{-765496,-692105}
{-221167,45969}
{-59904,156073}
{384875,457913}
{200123,-510830}
{5767,643722}
{-620611,829555}
{-333842,59907}
{741875,-549127}
{932971,-547447}
{-540436,-640162}
{-592022,313056}
{514914,-509087}
{964052,852421}
{-992944,46237}
{862886,-944624}
{-376655,123300}
{607345,-339498}
{411265,628591}
{-596233,-313931}
{-802532,668828}
{531324,-869744}
{240221,369553}
{540624,-263365}
{363424,-263902}
{-575911,155548}
{-583060,-27461}
{244285,327438}
{-719908,-331898}
{-36012,-293998}
{636121,416339}
{-533225,612522}
{-584868,385917}
{998323,-703452}
{844104,-797674}
{-109303,-172203}
{639877,117441}
{224241,989122}
{-111989,-555605}
{-603663,60362}
{-81548,-867808}
{-506243,-179752}
{820672,994233}
{-621036,796185}
{-189035,-973801}
{362063,792137}
{-886881,637766}
{-34366,-197572}
{-662906,195785}
{-155137,74993}
{-389961,942783}
{754161,308908}
{689591,-393471}
{-764129,-44205}
{-533349,-178550}
{-417097,-202129}
{-960001,-286149}
{-810450,-646445}
{948868,-248405}
{365192,-201721}
{-358520,661934}
{780800,810656}
{-425108,918862}
{883827,959206}
{-37403,-995964}
{-643496,-603761}
{-268633,-850889}
{927979,-244105}
{647802,446146}
{130677,-298247}
{-246007,-434989}
{856599,492160}
{158048,-297353}
{-167529,430906}
{-271780,-588486}
{334405,-523256}
{257129,966307}
{226204,-462090}
{-161,120544}
{-291273,787762}
{-137826,-287864}
{-504728,260017}
{-565,-494766}
{718093,-354175}
{-987424,363027}
{-103534,722838}
{-240695,-997455}
{974586,18288}
{388830,-936268}
{543422,188565}
{-81786,-915956}
{-701352,-293600}
{-146110,-939402}
{518744,390339}
{505621,-328406}
{173009,629617}
{-689845,492395}
{799168,814253}
{-882790,717832}
{-555838,791417}
{-186559,-470092}
{-911557,-983241}
{-248223,-934382}
{-695339,-20069}
{166881,-136950}
{-711924,884002}
{718410,697355}
{613265,976196}
{738088,-23625}
{306717,585320}
{-355511,494672}
{602200,954534}
{-545705,-253629}
{79684,-370842}
{-257962,590841}
{-75466,189550}
{531822,500197}
{738542,-911979}
{642217,181901}
{-439890,-50496}
{-264916,-280223}
{-478754,179694}
{237760,126442}
{-856071,163778}
{-47668,-226431}
{-786491,-917261}
{-63558,-710123}
{754096,-44541}
{101742,-400612}
{-12827,354210}
{387839,119311}
{315145,150301}
{-465564,-186021}
{-552140,717761}
{239442,-156144}
{-707001,-49549}
{-562449,-426237}
{-67465,381362}
{779599,699214}
