{-86962,-655986}
{254002,-811299}
{-33742,-816529}
{680487,-568466}
{362044,-423866}
{-505998,902247}
{857973,-705679}
{836077,-213666}
{-424551,361541}
{-934388,-845107}
{-545491,-978526}
{-930708,-856443}
{-899767,-992473}
{566500,801592}
{52924,937650}
{-480908,-849039}
{-539467,-621012}
{-901920,-478982}
{-164751,-191887}
{522998,-388211}
{-365637,865527}
{-830901,-356610}
{211388,809824}
{-445575,-116254}
{-387942,-495894}
{-721883,-255770}
{469382,500593}
{-532986,933643}
{-306485,830760}
{503286,58208}
{-481629,-925470}
{45394,467743}
{-297489,241696}
{-457011,-424505}
{-463623,437271}
{-332400,-895231}
{207081,813270}
{913360,943541}
{739511,877690}
{429232,736740}
{-827568,264592}
{-475901,-247970}
{651194,936132}
{-93153,-177977}
{75852,-47600}
{381225,939699}
{-897149,424139}
{-681320,-571601}
{657813,-830465}
{-80787,-591737}
{-282176,271073}
{-396229,-712563}
{-958797,979793}
{306801,979256}
{-773877,-48828}
{601271,1082}
{12119,-429796}
{-428481,-861887}
{586399,122985}
{100509,-973209}
{-632709,399327}
{427989,180457}
{818976,175561}
{-886714,716329}
{-526690,-510239}
{-686156,702827}
{23584,-292181}
{-698358,-701899}
{773889,307574}
{-998307,403744}
{-235815,274527}
{274448,58360}
{136979,-793307}
{459224,132687}
{-358943,643901}
{727258,425365}
{-965524,-221523}
{739469,818111}
{-723072,-134811}
{-83492,317156}
{-280270,-562105}
{125095,-259301}
{638161,-578338}
{-767501,903563}
{-773641,215354}
{750353,-6892}
{644602,989443}
{-853375,-467065}
{-935561,-391638}
{760961,100191}
{591140,801538}
{200731,-610165}
{830187,-5979}
{895982,-90962}
{191575,-787177}
{424002,697094}
{-801910,-975716}
{-776669,998991}
{754436,244949}
{-505629,966537}
{-236130,471852}
{503887,-709694}
{-680218,258911}
{-269610,-19279}
{563235,671389}
{70900,226211}
{989408,-817501}
{881772,-867850}
{-275052,-287012}
{939515,992901}
{-530574,-760950}
{-726315,-427201}
{-775223,147951}
{287469,-708458}
{-400821,-290411}
{-828495,-437493}
{16460,-882485}
{758209,-94205}
{645695,125964}
{-153882,698557}
{-170255,-293727}
{-257670,734600}
{-46641,459583}
{-701770,497181}
{658580,-192704}
{773550,-742570}
{660564,-828253}
{940200,-262050}
{891818,-86677}
{-594960,844977}
{-364786,35236}
{720136,-821784}
{430582,314003}
{819897,178875}
{-443607,813405}
{-570936,531259}
{668230,-649239}
{-957712,-423290}
{317275,-426051}
{27941,-934625}
{262322,699655}
{-342200,-81177}
{922656,725111}
{488536,-474844}
{-392804,-938455}
{136798,-710011}
{857269,-9982}
{-902395,-862233}
{-748733,283933}
{477415,-432237}
{296691,412162}
{932216,-460491}
{48087,-194033}
{-797688,-675957}
{-558604,577165}
{667545,-181213}
{38283,-544209}
{867256,434268}
{-652293,-949173}
{-770435,428027}
{364107,-40406}
{-563103,853750}
{920802,619704}
{388811,-41621}
{-303063,461291}
{-599275,-334265}
{-778988,-873074}
{730100,-886444}
{960160,774502}
{-161711,681967}
{577665,-189357}
{139587,912069}
{-853808,-612968}
{305917,223148}
{749170,-634327}
{434321,610475}
{484618,436241}
{50226,765841}
{-938379,631365}
{223176,-520615}
{-953791,530066}
{599315,863113}
{886435,-864752}
{-55208,233735}
{-897202,741654}
{306684,-130816}
{981193,-360026}
{342612,281351}
{532722,593110}
{601630,-517519}
{-990660,845819}
{-894497,-141192}
{-786530,-776125}
{390340,893774}
{187621,-94399}
{-134439,-382134}
{705667,836197}
{-468464,350859}
{-254485,541990}
{-313230,459179}
{-566028,229971}
{-660743,846400}
{-377543,-934096}
{-835049,-734642}
{-328472,403510}
{443052,293058}
{469546,-883518}
{-36729,-919535}
{133497,-596124}
{-791750,-679603}
{420320,236773}
{966927,-833084}
{-60751,610833}
{509462,238339}
{-257439,-798782}
{-20051,933925}
{-904821,-984789}
{-491070,-902861}
{-315088,685258}
{-111047,-95911}
{-754935,712601}
{129134,-280402}
{109795,717741}
{315999,-320395}
{700212,954388}
{-6572,-139669}
{515381,-122173}
{861768,835226}
{-924829,-918097}
{17264,-477535}
{796182,812406}
{883939,369998}
{474982,812430}
{700132,321714}
{295525,-360440}
{-661972,810994}
{261990,-196260}
{446088,961813}
{-906069,-872949}
{425517,411155}
{85830,900553}
{-694183,-519974}
{-666153,-183999}
{-113077,951923}
{-724084,-691321}
{340477,-930941}
{-945851,555052}
{-83834,-790366}
{708291,992626}
{-913184,429180}
{430012,944460}
{608172,955156}
{44564,539426}
{336608,668587}
{311253,-172324}
{226844,601751}
{-172106,-856108}
{143974,183125}
{416966,154075}
{542465,394392}
{-792706,-9070}
{441182,-411771}
{419794,147522}
{65284,-100273}
{380647,841180}
{-278667,-617108}
{-670388,757769}
{398912,-318381}
{122976,-839430}
{523607,-316593}
{872295,-627039}
{250386,174968}
{-720691,674154}
{558951,731989}
{-580943,479190}
{160417,208471}
{-162021,366051}
{-336100,-184527}
{183757,145972}
{-575876,102175}
{374087,332923}
{-586090,-199375}
{73169,-183886}
{-513135,35479}
{-477258,-397782}
{602674,-21752}
{912375,257573}
{-525664,-821817}
{136077,869789}
{256650,926198}
{-784728,600405}
{-539441,491517}
{-555914,-348555}
{-990108,-463519}
{-575031,-427732}
{-80840,37444}
{441286,-976083}
{-494896,-64754}
{-49362,95984}
{819543,-642500}
{-995299,571043}
{398361,924888}
{274153,111085}
{639166,608909}
{-574262,-815387}
{-5769,867280}
{-582299,-680934}
{550764,814297}
{-832989,-568467}
{938401,-241740}
{-882972,86045}
{19853,639588}
{-316943,-181771}
{890614,-414843}
{-12313,911753}
{-419211,146138}
{-148387,-520547}
{-244958,-817840}
{-152110,687066}
{-154336,-284578}
{818626,312490}
{-515400,-219151}
{-823111,127789}
{893952,531519}
{507032,-166124}
{851352,916918}
{-924847,175425}
{-967635,68960}
{-444853,50998}
{145782,-6465}
{-919552,-248212}
{-408182,-411339}
{868796,-222701}
{-79925,-242107}
{780601,602453}
{914536,-571495}
{-89862,319640}
{411141,241536}
{-978861,699694}
{-787979,-339255}
{688496,-895420}
{-220074,291692}
