{-684538,-462257}
{571536,-369910}
{26889,-46014}
{558565,26908}
{407895,-82084}
{527695,103640}
{-478068,-255394}
{699026,217103}
{-685840,-702595}
{906283,770629}
{507248,-294570}
{122983,791883}
{-996260,-79989}
{183443,-201802}
{167742,101698}
{737368,-287329}
{-516661,717582}
{-99427,-393113}
{-823353,709488}
{-527661,477214}
{-412336,84873}
{-296331,775789}
{262371,-849340}
{233287,459945}
{645092,691391}
{665737,869695}
{772187,-953924}
{-117550,-860766}
{25339,-644164}
{232314,304242}
{-334438,-531423}
{-290250,317673}
{-168894,-198360}
{-93566,-360718}
{-165735,202598}
{-264279,331671}
{-9002,129788}
{914288,-291500}
{587612,816451}
{332790,-850202}
{661686,891814}
{635116,658004}
{-85673,-121136}
{960965,676569}
{428642,248282}
{-758887,-110154}
{399704,-261358}
{-97726,271177}
{-678621,33162}
{-934023,151587}
{-588767,-406646}
{725530,-38197}
{-889572,534100}
{-863261,-31954}
{89357,513958}
{-923371,464994}
{466625,-952728}
{-226321,938842}
{377037,883319}
{-947202,812237}
{-244994,522229}
{-509090,889719}
{-365994,822530}
{-225810,928355}
{822680,-93082}
{-985396,-382588}
{-414410,20497}
{-224420,716883}
{697570,-614669}
{-311793,-842107}
{945063,-4149}
{470659,863307}
{-332085,-860839}
{543811,235411}
{27831,-838331}
{-88642,758665}
{-831323,-511371}
{-396220,-857901}
{536613,-549153}
{-831553,-337609}
{924347,-518118}
{-960373,944877}
{9437,-277453}
{-856919,921290}
{-409451,349855}
{-304637,702451}
{-106803,885521}
{701062,-101994}
{940076,-612064}
{892140,-925650}
{858646,555154}
{239220,-440803}
{-427604,9840}
{-35411,-91990}
{482394,-80570}
{237638,-327362}
{-839675,115159}
{-14864,188889}
{762410,107572}
{738987,687301}
{-376031,417330}
{-409432,553657}
{523829,-593781}
{335291,494678}
{379068,-462278}
{-687644,785942}
{-913711,-970184}
{478888,-819287}
{-873124,266361}
{782936,-692882}
{-491244,-586731}
{-244804,38498}
{-728245,536305}
{670444,384441}
{-252759,-755350}
{530607,-105066}
{-848251,204786}
{-228444,937951}
{221328,64721}
{643088,-127004}
{-640995,305720}
{22553,414091}
{-563285,-525460}
{-262575,-534621}
{-520452,260511}
{155573,505582}
{-760141,880034}
{710522,-811560}
{707345,662955}
{325940,-5210}
{764986,-20114}
{679695,-175385}
{-294142,-986042}
{-152857,-382116}
{-61926,353226}
{306185,-642464}
{-319064,-261926}
{419462,52727}
{316306,730508}
{-146076,-714648}
{860289,445433}
{-192312,444644}
{608197,582185}
{999654,446410}
{48565,-482220}
{-493972,-652475}
{644788,-324779}
{325874,268081}
{258614,199308}
{-541062,260664}
{-478820,100638}
{-67497,-315690}
{-773884,-102589}
{-851357,-78133}
{-693545,-805508}
{479337,-205581}
{-305602,-225877}
{-85840,551421}
{-847889,-80132}
{717607,-68447}
{-712233,-759345}
{-963100,-96732}
{277389,676063}
{-12826,13177}
{842032,-202091}
{-244094,11030}
{924070,525868}
{-5485,133165}
{765351,799806}
{-766988,-903595}
{317276,319602}
{498300,167030}
{90332,-786702}
{-159631,426409}
{925894,243876}
{65090,-167595}
{825051,-595890}
{-900938,-154913}
{-116140,66816}
{325794,991770}
{-639967,750553}
{613201,-920298}
{166236,-988973}
{96714,98766}
{160968,-32301}
{712640,-798619}
{661730,-961719}
{-617781,-922151}
{-250457,-612843}
{886664,-921252}
{-734314,321225}
{-585292,789791}
{114646,-326664}
{-9305,-693064}
{-990718,177059}
{-126768,-421743}
{-290411,-277882}
{86226,-266973}
{-109357,-688566}
{8188,477907}
{-300447,505619}
{929855,-17786}
{853465,84568}
{812554,-394457}
{-540897,-835538}
