{-590136,-665351}
{722677,-303436}
{933251,604396}
{918854,800576}
{-94783,687992}
{666001,-3038}
{939469,541238}
{-154877,673859}
{-730755,-276516}
{954010,409607}
{-946925,145826}
{-98032,-365373}
{-683299,-36711}
{444331,-136582}
{-403284,278637}
{509244,-821673}
{-328704,730430}
{196641,206972}
{-672539,527843}
{336199,-481886}
{465079,-887297}
{76845,848709}
{-738698,556790}
{635339,6440}
{-513651,-283756}
{-395405,-890856}
{-362026,357014}
{-348912,236221}
{-875997,-278900}
{-184395,-469970}
{-291952,-689534}
{-442222,-409833}
{951343,703163}
{-702817,933191}
{-531216,-281566}
{-166103,731118}
{-678304,31939}
{-656125,304290}
{-565669,-393867}
{-208297,761}
{15788,-543387}
{816441,820446}
{-803781,746284}
{-138297,530482}
{-5918,-197798}
{-101329,128619}
{-14412,-230386}
{363184,419348}
{-972070,134575}
{476311,-173165}
{57031,-768474}
{-433849,48928}
{379875,138808}
{267315,-185201}
{308412,-541435}
{-165234,569068}
{960517,-444314}
{177163,753917}
{-55427,466523}
{-339844,-966042}
{-280677,-237923}
{890777,-866718}
{875711,907784}
{-887436,-696749}
{-698995,321778}
{-795540,-628852}
{-598085,-377241}
{-129325,213146}
{-966632,994994}
{911193,-575095}
{-306862,-827848}
{478230,79248}
{-702657,-90380}
{476720,386162}
{-851606,-49732}
{-625185,427932}
{232447,967723}
{321634,449041}
{544196,-341293}
{838484,-236648}
{-821567,76336}
{83259,-891591}
{-744401,-952795}
{-241200,479901}
{359149,-135785}
{-508941,827780}
{-380214,112560}
{108113,-278338}
{-713235,-746466}
{-817172,286858}
{134877,-968158}
{657378,-849724}
{-414181,-215809}
{88834,13256}
{731161,-687746}
{512023,287452}
{-839257,58751}
{-227473,-255000}
{103760,-256927}
{-189714,296164}
{610659,82515}
{-74061,-168540}
{-258587,-644495}
{859369,-514368}
{2863,392053}
{437227,-111186}
{388709,-820625}
{-993263,219317}
{665760,-821913}
{434604,545042}
{-883739,-463801}
{-158482,-960232}
{-588286,-428681}
{-517836,84999}
{-426479,-521967}
{-59410,-542162}
{80115,464991}
{-910026,-207910}
{236568,-573870}
{-686879,593394}
{-404885,-819177}
{-80440,866265}
{-328298,-445160}
{-648014,631377}
{388394,-761348}
{143399,-129182}
{-677968,-812016}
{-755653,-158509}
{-945984,120256}
{-400360,51842}
{893251,-153364}
{-521322,306393}
{918108,-245134}
{-73997,959973}
{-595868,-153809}
{177397,-549056}
{-327003,-186802}
{-692832,11519}
{254145,164346}
{-986624,-722182}
{-575478,-484737}
{378631,919939}
{216697,363018}
{-423065,-72972}
{-136885,514429}
{16918,-934299}
{-209331,83529}
{-87882,-619185}
{-810026,831335}
{-67131,200154}
{862020,-714922}
{-512246,-553651}
{-566168,515846}
{-112527,-372650}
{67288,-554812}
{298889,-337031}
{-796418,-816070}
{475137,-665877}
{-97896,140740}
{-205690,296271}
{799471,873445}
{780761,270855}
{739272,40219}
{-518162,147074}
{582614,696628}
{497868,913408}
{780301,242904}
{-785538,794849}
{-388290,-534005}
{-432886,54099}
{-630526,728818}
{990068,500266}
{876035,148931}
{77897,6664}
{153485,881189}
{825742,-42530}
{862829,-420082}
{899894,-504870}
{86998,-716105}
{628079,686745}
{-931765,915015}
{-935014,-423358}
{689747,-64520}
{-499082,285018}
{-720584,-694623}
{-216279,187894}
{433180,935841}
{638869,602371}
{-495261,-617294}
{-957563,-37272}
{-863698,718296}
{727342,-761689}
{745413,586901}
{692803,-301968}
{-197292,224240}
{-378893,443793}
{-862495,304428}
{-138737,504365}
{480491,402212}
{-744474,-692756}
{657211,-970077}
{-91449,994496}
{28352,-643402}
{82345,-799899}
{185280,801897}
{1524,844951}
{-84420,726846}
{448062,355778}
{736256,-973786}
{634898,-116445}
{224015,-107493}
{-402541,-288200}
{48716,-430338}
{951856,532255}
{-559450,383668}
{-197200,631284}
{583800,761160}
{-91849,918946}
{-192951,659224}
{452330,701812}
{74518,69786}
{444437,-581149}
{898141,48397}
{-704263,547296}
