{-870060,524568}
{700181,-385659}
{592249,-105506}
{713987,585514}
{-715548,595175}
{880862,577632}
{-588270,805214}
{291446,-859123}
{50291,256285}
{536690,-892233}
{-171251,279054}
{209217,-952303}
{70545,20233}
{730053,-969682}
{570126,653993}
{-955905,-60076}
{-933806,-312166}
{-476805,117932}
{720636,51793}
{780054,-373117}
{588572,357505}
{28214,673945}
{-620580,496910}
{359553,-138177}
{-873348,800852}
{-173241,-516707}
{352768,-342230}
{609595,-20420}
{145696,-553789}
{-742110,-290749}
{592670,-976172}
{-863145,282579}
{-83191,-605143}
{520713,668810}
{-245848,-43302}
{763385,90607}
{-478646,-601490}
{-909128,-620443}
{-716897,972520}
{-747961,835032}
{857029,-124584}
{-599022,-288222}
{322932,218811}
{-432245,-513897}
{990813,168644}
{44624,-401738}
{941199,860061}
{147855,38810}
{-172264,-901126}
{-475287,-653155}
{-557870,-921535}
{218383,-938004}
{69316,109135}
{451232,912460}
{-922130,81588}
{986111,-593368}
{320792,966660}
{720839,-149796}
{-10278,-305821}
{543760,956357}
{-905970,764016}
{613364,-749631}
{-485994,642476}
{-507117,148978}
{285835,179486}
{-253950,-322381}
{-437612,-529889}
{909026,-631448}
{-70236,-690696}
{108937,256091}
{-308545,-585536}
{171409,199068}
{-887151,982419}
{-744837,-442328}
{970001,-200819}
{-976962,212521}
{-264729,767796}
{-862043,-5596}
{-959453,-541747}
{-362645,-106605}
{637870,-427894}
{-430822,-602153}
{397938,-316847}
{-153738,459096}
{951085,-347632}
{769278,-539213}
{-981360,378090}
{821775,630798}
{-92218,879349}
{-965913,-960862}
{284474,257249}
{325576,412178}
{-461735,126785}
{-631537,478241}
{-746958,475399}
{-341027,583875}
{683388,511784}
{-944725,-50149}
{268852,-704410}
{-542242,-908087}
{-913396,-753489}
{-219369,676328}
{-606560,-572058}
{-776423,-417831}
{137654,-146108}
{920759,348576}
{540654,821038}
{-206571,-123871}
{-800995,-183398}
{-146087,-505190}
{-48450,737233}
{-270178,-321681}
{603177,527211}
{-701046,-750545}
{-965772,-843095}
{337704,810809}
{881324,677563}
{890931,298558}
{815499,282753}
{-709354,530508}
{-590723,873465}
{452005,51968}
{-751089,627117}
{380528,745991}
{-469130,807762}
{643305,-299441}
{-142110,581478}
{-186627,-682493}
{688204,106118}
{216964,594983}
{571648,575345}
{697024,251026}
{300387,526214}
{-683607,920994}
{-926348,-195679}
{132956,-927325}
{-471128,-998368}
{-710028,693144}
{852450,789350}
{-626822,715627}
{136161,-389399}
{-585995,682483}
{-331363,-143817}
{-793333,322478}
{623083,-989551}
{-432696,651784}
{988181,-353117}
{518507,579210}
{-347584,-511435}
{-316000,482920}
{109078,148681}
{-734877,-203869}
{310504,209568}
{913113,65343}
{339484,-553295}
{524204,-31159}
{-619613,842365}
{-773511,619975}
{-470521,303499}
{276814,-81856}
{-737788,-849018}
{189776,-70692}
{-851321,-905751}
{274991,-247311}
{35002,-867216}
{-933461,691102}
{292845,127878}
{-538969,675477}
{-19659,446155}
{-438854,-775694}
{-177833,-184198}
{655353,384427}
{-558185,-17367}
{-775832,414125}
{-221569,-156835}
{788738,555793}
{-875305,536331}
{-555795,-641333}
{511968,223451}
{775540,-894675}
{378019,-343868}
{-139010,741028}
{-336996,-639617}
{-248674,452629}
{-715857,-475136}
{337982,-523779}
{460499,-572770}
{-873607,606762}
{-897986,923976}
{-745622,-916074}
{599865,-245349}
{751100,9515}
{-242435,-257107}
{-119619,467367}
{-46614,853156}
{26079,690345}
{-447545,-479559}
{316322,312783}
{469822,-801724}
{293109,-206377}
{814391,-634462}
{-762869,-551127}
{-660464,-248202}
{901198,-647607}
{108365,-60408}
{559797,377873}
{968324,769040}
{-509336,-315476}
{475899,-294734}
{88764,-566749}
{287141,-991270}
{308996,55580}
{284540,360548}
{7679,392456}
{918019,-755935}
{655412,269579}
{58347,888578}
{-928674,-451838}
{-825776,922653}
{-81982,552132}
{612720,-247858}
{651102,-114901}
{320309,-514973}
{-979246,-625530}
{-867364,-221702}
{524932,-11851}
{-116646,-3977}
{431235,120649}
{505788,182853}
{-527321,763008}
{205589,341849}
{99530,-259425}
{36984,-762931}
{-673167,-431122}
{-227784,-543940}
{28206,-702974}
{551596,727883}
{-220580,445045}
{-805870,-129503}
{-791271,390794}
{388556,908670}
{447006,888535}
{-811889,852309}
{615563,411089}
{478107,283073}
{148361,-643357}
{33510,-378131}
{680288,-690035}
{-441148,-649066}
{493994,81443}
{525573,-664478}
{-7532,-345293}
{733037,221325}
{-874984,872629}
{-156041,-770275}
{538183,423672}
{614512,-385984}
{647336,932889}
{-919678,-351044}
{-709931,449847}
{843203,-361364}
{-54353,-145180}
{3250,565223}
{-412762,39263}
{-580131,654280}
{-929673,437374}
{703033,-295058}
{3254,-374429}
{-453076,-83142}
{-969786,-236323}
{662276,-32968}
{-308939,620812}
{-534477,153535}
{-862259,831998}
{416326,-496753}
{-427459,-303035}
{606975,906464}
{132999,68296}
{462832,388813}
{210495,179340}
{803215,-246120}
{-442284,267762}
{-242172,796689}
{635696,-68664}
