{112843,693474}
{-802205,618971}
{199739,399743}
{-595818,532396}
{878470,504870}
{475379,-708153}
{135725,736107}
{248728,-398191}
{979742,-120800}
{-721452,8293}
{-659221,496408}
{-954967,797516}
{-784198,759904}
{911754,113448}
{19671,-696906}
{629968,-148470}
{223760,-428654}
{-46040,-903402}
{363483,997298}
{-947112,188884}
{-615698,546384}
{935343,611928}
{-546385,-741913}
{959428,823060}
{196651,-646900}
{207160,984951}
{-468610,-926092}
{295560,-702529}
{-582262,-994207}
{427243,472617}
{-951966,186978}
{-141910,613081}
{-780251,-618252}
{-847280,-595053}
{-103950,768610}
{673118,-347767}
{-238549,291482}
{466607,157918}
{-15627,-366964}
{873433,14599}
{277023,-678094}
{754553,477191}
{-349789,295012}
{-235437,-796786}
{21750,-176776}
{-370866,943929}
{-716589,62531}
{327936,-280704}
{-228480,766261}
{268942,360035}
{489252,160137}
{-816325,235674}
{563689,-363431}
{784144,-358048}
{655251,-609254}
{534708,-625144}
{-885754,264720}
{634857,810426}
{-798302,885797}
{-445984,-489701}
{570921,-981227}
{678991,892796}
{796852,-835927}
{429005,613247}
{852475,24952}
{-21221,-648439}
{324439,952650}
{211204,-817094}
{813981,174188}
{693093,345711}
{-87532,-858503}
{-679707,386794}
{-386715,56511}
{765623,-745959}
{-276183,897483}
{177956,788012}
{-68394,521907}
{547683,-288431}
{567755,-188750}
{-655682,298142}
{505789,-968832}
{578102,398471}
{968897,-860172}
{-47528,175789}
{-128882,914409}
{83813,-830279}
{-868273,-936029}
{631572,566350}
{-625822,-927272}
{768471,95207}
{-658695,921220}
{603562,-859145}
{313203,927509}
{976393,567085}
{813816,368618}
{-774283,-101247}
{-988648,-122527}
{-872762,49984}
{-173112,-756179}
{586711,-546118}
{907375,-296930}
{268412,246930}
{-404127,-564614}
{-587514,97012}
{212879,-888779}
{-955773,135596}
{-909966,461058}
{544096,396589}
{-517800,853737}
{113032,-905439}
{753214,-214067}
{654413,-435388}
{567618,471432}
{-262928,689275}
{535801,188068}
{676007,49865}
{315176,17017}
{-41267,-982367}
{429507,135207}
{-26012,951212}
{-931761,-154020}
{66669,-404581}
{512126,200865}
{214306,418937}
{-191331,994689}
{913910,-545578}
{691988,-427336}
{288379,-348629}
{-838189,933329}
{864443,25826}
{-967558,-83199}
{-514420,-748344}
{-493590,456848}
{-238586,750915}
{720210,685573}
{593796,-747228}
{55350,-336841}
{55464,-814861}
{-107857,241884}
{-437195,365027}
{-251759,-338283}
{-861300,-939419}
{785948,-590098}
{696192,-330227}
{54880,708333}
{548235,-170364}
{-939753,-796870}
{920976,-826232}
{-20770,-181579}
{-290711,-463579}
{-782988,-493402}
{428001,786219}
{-9196,148723}
{-536244,-732024}
{249835,-889943}
{727788,862044}
{917687,-149128}
{-201620,-840556}
{-703383,500786}
{-194584,-651263}
{300055,279712}
{637572,830795}
{-96126,576716}
{955410,90971}
{-882,636993}
{371306,-224108}
{330004,243070}
{530398,765368}
{212817,185251}
{93813,774795}
{255282,532353}
{345768,120787}
{900423,586151}
{753827,-864916}
{-53652,163916}
{520817,-451502}
{-492863,139520}
{-689798,813615}
{302824,-192771}
{6290,32241}
{108336,696940}
{428651,-982992}
{188339,-584853}
{594691,479788}
{-710107,-711230}
{570622,863484}
{389311,-559036}
{-406811,339312}
{209669,895809}
{-116605,157622}
{-62706,-51098}
{-815829,-263450}
{-187192,-444339}
{-18023,-668258}
{-882577,-839934}
{-855570,804535}
{-252495,-740558}
{616142,-711043}
{-159154,-854744}
{-330025,19417}
{-611373,-312030}
{290078,-555229}
{-763080,462041}
{-611406,-202387}
{-3917,751500}
{359624,-335905}
{-743182,530760}
{-827342,145922}
{-532433,-68110}
{-475238,513664}
{537001,375467}
{279279,530807}
{-520799,458753}
{781848,-436199}
{-503806,-635235}
{-35636,288361}
{-757608,-427579}
{-498311,508163}
{953947,-220717}
{-461483,-553421}
{-589330,-899703}
{-325331,414706}
{-821361,197283}
{-868097,980564}
{-879115,895550}
