{797552,383581}
{-200466,371845}
{-893687,-445947}
{284265,885985}
{498912,649375}
{-563181,327293}
{-748278,-652074}
{6794,367528}
{-439399,-960161}
{526824,491639}
{694831,517842}
{-422034,-928857}
{-280307,-108300}
{852713,-251099}
{-825475,522416}
{822680,155113}
{-159552,-938943}
{-484278,-625386}
{886667,-676703}
{547054,748145}
{-702290,-189348}
{810538,155991}
{380619,-468281}
{-605350,-502376}
{775668,-451278}
{871900,-476053}
{738390,-104264}
{795314,149803}
{745853,-571105}
{-298097,-192403}
{-442502,919014}
{-321077,849753}
{862708,-912189}
{896193,-530171}
{-59495,-957025}
{-523842,-870913}
{445978,344585}
{687613,-459790}
{-716171,-214965}
{800193,-170991}
{884247,434505}
{-989920,-452020}
{-636109,941224}
{-34370,948146}
{291151,-779921}
{-829718,-145878}
{137014,-138634}
{462560,155605}
{429804,682744}
{-73285,506138}
{-580806,-387844}
{814995,132522}
{628719,-603409}
{670653,559823}
{-665629,300372}
{45081,30492}
{46086,-931609}
{-884998,347265}
{922106,599478}
{-589598,-361744}
{-644443,713752}
{751439,159761}
{-9029,-100753}
{916110,-47496}
{362981,118566}
{-453849,232281}
{237938,-631553}
{563759,-564352}
{476949,-560296}
{-107175,682454}
{698689,-688815}
{-432953,-613992}
{-233914,562412}
{235387,-582216}
{626453,819361}
{-725565,-953912}
{698814,467900}
{271262,-922194}
{452061,621747}
{-384318,-199446}
{5295,824495}
{-75051,232507}
{657478,-928714}
{954080,622554}
{915331,-977382}
{-759308,675042}
{-547582,-614881}
{569526,-68630}
{94684,815503}
{-855334,389738}
{-618378,932852}
{756575,225350}
{682858,376997}
{620806,172032}
{385826,618786}
{-119739,48671}
{617540,902659}
{949184,504183}
{166346,-140017}
{510939,113326}
{86599,672961}
{-579361,-912792}
{-150405,-957538}
{-255992,-521566}
{-907383,346405}
{753620,424126}
{806122,-842887}
{966510,-547856}
{965036,-797513}
{-584308,-65081}
{-797379,560355}
{-547328,-926904}
{-24644,311275}
{-160895,698230}
{-336542,-839576}
{15828,-874660}
{126746,-80757}
{419474,-1265}
{168458,-788724}
{-643542,688995}
{544433,964950}
{772669,-709345}
{759793,-412262}
{973351,793483}
{477593,-848150}
{-20079,-150919}
{929536,-941322}
{-173768,278261}
{149084,942029}
{-461887,30962}
{-237292,-515800}
{248646,-347737}
{-702023,178804}
{-82301,947638}
{269365,-621912}
{-37773,-198333}
{180382,-627109}
{347233,-863949}
{-138294,832166}
{207531,150178}
{412788,-668654}
{658706,-25424}
{23748,926703}
{66008,-766878}
{-302395,407158}
{-570556,271151}
{-687855,614290}
{801719,841938}
{611950,746595}
{-126881,754224}
{456354,730650}
{324460,-805751}
{-928512,-794983}
{-521014,244916}
{687950,-141252}
{660673,-741174}
{493780,-580276}
{-296785,808289}
{-533925,794000}
{-73463,-3740}
{-849658,-538041}
{-420355,616539}
