{770083,606608}
{327079,342243}
{696196,-625575}
{712201,-788858}
{793362,-925359}
{-687687,-219865}
{-909890,368990}
{851162,-209461}
{667641,-866512}
{-759528,-50087}
{-19660,-664185}
{853479,-489581}
{-623136,379754}
{704756,774409}
{864653,-34153}
{-1462,-855558}
{-96682,-182322}
{930824,-348931}
{945071,719345}
{503157,-963889}
{-142363,-955616}
{-980260,-461763}
{910422,-560726}
{295029,617986}
{138352,-766420}
{-69716,-575159}
{646967,331835}
{-540427,-794916}
{-676365,529908}
{-517554,501536}
{-43085,858359}
{-997045,248325}
{-795152,-760071}
{-648596,398154}
{148231,-482684}
{62711,-889947}
{583629,914201}
{448524,-47657}
{-996498,829724}
{900860,-165936}
{-129793,-79378}
{-779736,-629449}
{-244520,-135124}
{426731,83306}
{-963425,630042}
{450242,422057}
{-102214,-477279}
{366828,-736084}
{-87721,-793509}
{-329993,313924}
{53589,437243}
{-992619,527679}
{555055,-886491}
{835420,-970535}
{-597327,-977707}
{128026,979276}
{47751,-120204}
{-232740,989257}
{-401675,-803648}
{465548,387336}
{489048,-544398}
{-100873,817600}
{-518243,180853}
{27594,417515}
{-451412,490090}
{-490346,488980}
{424345,-323314}
{-142453,-465993}
{-21474,511467}
{562321,-339046}
{642871,763831}
{198527,264310}
{-237564,371089}
{270745,-656931}
{189695,-621981}
{-727893,-648}
{-135362,-871715}
{841181,815245}
{767659,-673015}
{278920,-653124}
{-728724,-762895}
{-402781,731557}
{918569,-961624}
{478509,395827}
{992886,830053}
{33800,-355115}
{742872,-804644}
{-2453,-575275}
{-480,767645}
{-276493,-32736}
{889738,-878521}
{475130,-500617}
{-578888,820580}
{-494466,932647}
{-203823,-296128}
{-232056,974454}
{-246571,-672797}
{278298,273624}
{218391,54782}
{-944992,-161535}
{923068,655067}
{157808,691870}
{362002,-604907}
{-896400,345094}
{358457,-221532}
{-723423,841790}
{-647301,635334}
{-488970,-116171}
{297482,348070}
{395950,-335420}
{-64936,-870510}
{-556686,-141304}
{233493,-107396}
{857993,935728}
{-882757,616085}
{886429,-820762}
{-540493,157699}
{-245771,212894}
{470445,790543}
{299006,497772}
{813183,-526413}
{591353,694968}
{551700,-882834}
{80307,-659037}
{-909426,-75742}
{-346854,984404}
{890540,-399928}
{-743791,240544}
{539867,-228149}
{747597,605328}
{-752669,-774424}
{710256,972275}
{-287195,-293377}
{855154,488347}
{89724,453738}
{-785975,390488}
{-498239,975561}
{-578753,-582131}
{106048,-201395}
{827015,954485}
{-740186,266758}
{-44140,859532}
{643379,967379}
{526051,792195}
{13502,-788625}
{867143,-479174}
{245809,-789495}
{372738,-187033}
{510339,-745262}
{727395,-688343}
{436561,-837126}
{-50587,23900}
{915575,211843}
{-701780,274407}
{-890086,-20412}
{-844880,-412745}
{-216734,428197}
{281298,-351900}
{809261,717471}
{855345,-960936}
{-590895,590635}
{-382295,-240262}
{965943,-53702}
{23617,-684541}
{-624454,-702979}
{747777,-660610}
{-762405,935384}
{156450,-425667}
{-587597,558518}
{-881343,-242271}
{-96453,-176607}
{762421,-878922}
{492384,329624}
{155278,315697}
{-405313,90930}
{-665900,-346106}
{-532898,-741888}
{-221903,-298524}
{-798632,475425}
{-373277,984925}
{-973246,142821}
{-341781,-601705}
{746598,345856}
{-209231,-702993}
{-596586,-711867}
{947538,173843}
{522521,862719}
{-40613,-279959}
{199190,179381}
{-399797,325064}
{992220,77391}
{881383,-499077}
{262262,333456}
{739834,-992968}
{675067,-676653}
{-221828,248038}
{-897891,517488}
{245503,-962582}
{-31971,-476171}
{-857356,-428321}
{223190,847918}
{-787575,-262377}
{215070,-178322}
{932640,-413415}
{890779,-165216}
{-773455,892504}
{-204769,-755779}
{-862422,700243}
{464375,85633}
{907544,233090}
{-805540,115011}
{874772,-124207}
{-459329,901831}
{-935721,593707}
{-681508,239613}
{570583,666539}
{-6514,805407}
{-100182,-592171}
{-968409,199400}
{-754107,127228}
{-613031,-1716}
{-341892,244738}
{-463408,85827}
{942707,587448}
{23036,900279}
{949851,584440}
{-236629,-798437}
{107446,-241170}
{-473222,-824726}
{-838310,357012}
{-72315,854209}
{-713704,-482742}
{353010,-896959}
{-912468,776617}
{265237,-658332}
{-19216,648659}
{-142387,344551}
{61347,319414}
{-662902,-667184}
{652277,-150344}
{-51445,-863645}
{-528700,-631509}
{-733813,722119}
{-707841,-282466}
{362660,-867924}
{-847079,594669}
{-397958,923585}
{-930278,-92520}
{158230,464134}
{-114925,517866}
{-422481,-120266}
{-129260,499049}
{66747,-471426}
{591309,-460805}
{364946,76500}
