{83072,383527}
{-310263,-901297}
{-236101,475797}
{-182952,-833879}
{777540,5054}
{-888564,-191949}
{-523768,654152}
{24935,800784}
{-66188,157323}
{124471,-105654}
{372421,-390257}
{126417,692569}
{-43090,-1564}
{-901107,-863681}
{184353,752007}
{657654,-354294}
{255599,655792}
{88736,-259142}
{861397,-572029}
{-429034,928769}
{962220,-403778}
{-679345,806700}
{303789,-109984}
{111495,722285}
{-494395,-265665}
{-658022,599787}
{-211205,-544230}
{-954913,-112363}
{958829,-298958}
{820598,-20370}
{182863,604329}
{113132,-698452}
{741689,-227657}
{-525923,437627}
{517759,-895867}
{10352,-908304}
{-79868,607354}
{831418,-24851}
{-758080,827139}
{992793,515738}
{-526706,652690}
{-89337,-308255}
{-109171,79768}
{-767849,607204}
{713832,-748182}
{842282,78029}
{439213,-508572}
{467756,-684986}
{286203,-565589}
{464991,501136}
{114964,-730685}
{-605974,730530}
{70944,-383554}
{-288744,69085}
{403749,-678461}
{-120465,-384466}
{219621,300708}
{-342398,-295772}
{419747,858676}
{-882844,-864026}
{-586416,904014}
{746161,121615}
{69255,539913}
{-682022,633388}
{-392933,623253}
{772938,-711193}
{-463981,736905}
{-677573,819113}
{-885508,-176147}
{-214723,-300076}
{616338,-992199}
{282867,-718502}
{78180,-448129}
{-779280,43802}
{766189,-627084}
{-900136,263248}
{206320,454309}
{255656,-223521}
{112872,-207353}
{-359804,108537}
{304608,-807602}
{752988,364147}
{669109,-481437}
{-955927,391885}
{702579,-620289}
{119077,385727}
{-578029,-664688}
{-37434,-894317}
{366890,944430}
{590320,-157553}
{818306,347171}
{-939173,-973478}
{-103748,-636984}
{-956076,-973275}
{134290,-508937}
{-966685,-32266}
{142170,490451}
{-322270,991919}
{842492,470306}
{-115144,-941914}
{-74547,-960218}
{-638608,-601727}
{-608452,-463122}
{-550915,945710}
{-27581,-944075}
{121163,527425}
{-830580,-263818}
{-478512,683116}
{821629,-620682}
{613823,-751633}
{-370070,-834409}
{-747141,-651069}
{253278,-161571}
{86633,375095}
{723726,-381436}
{-363145,273797}
{-744883,-163508}
{635386,-99478}
{-166894,444939}
{-751004,725756}
{728149,-897223}
{-94822,-250494}
{429730,-20786}
{733480,-14646}
{-707561,-837067}
{-130294,-866901}
{-907430,-729722}
{444846,-181214}
{342804,24775}
{-869254,-774674}
{-462697,-610358}
{608542,193037}
{-321658,-177547}
{3646,-267639}
{393286,606508}
{971338,566624}
{384658,-788766}
{-422166,589894}
{-877399,599538}
{-862254,-839042}
{-341177,154362}
{-98035,-292898}
{-937862,-884951}
{-205627,-260338}
{-79972,-399695}
{612543,905501}
{226838,12881}
{334612,791503}
{-424010,57611}
{-886366,-50365}
{768415,-251924}
{-423890,-119825}
{-79865,42999}
{-27608,219348}
{9037,-862039}
{121151,537938}
{-599406,-585706}
{-464558,346997}
{126886,762513}
{148182,-91636}
{-920358,957455}
{-638635,-239412}
{-446031,991321}
{754991,149341}
{643308,-877168}
{408118,-896337}
{-860085,122778}
{59685,-754814}
{904549,-483508}
{407570,-709354}
{-824370,457781}
{266932,-970756}
{860669,573603}
{109086,840789}
{647287,-14436}
{-214980,-242514}
{-518517,-662712}
{448941,816686}
{109738,-371169}
{-881589,805409}
{226846,-529543}
{-367450,-860602}
{-852398,-758709}
{-681287,186905}
{727244,-681389}
{258681,-486493}
{-772541,-263589}
{236585,-914886}
{-485008,-836363}
{-333258,-385695}
{609001,-253032}
{664125,-527090}
{-326553,604551}
{-225053,472153}
{985704,-688722}
{323238,-722720}
{85033,179204}
{-293045,122446}
{746301,192332}
{-852415,838792}
{-964901,282701}
{89883,706046}
{9094,816375}
{-516873,177578}
{616676,-57196}
{958680,-811766}
{-592119,-152403}
{279018,-142001}
{990035,433871}
{216555,155503}
{-53183,76481}
{-547971,208961}
{129340,111365}
{-482798,-311498}
{964228,-37950}
{-973595,5663}
{641652,-562045}
{616450,83856}
{-726426,-795189}
{-932897,957543}
{307306,-668756}
{-29037,-865021}
{-962655,273508}
{119920,-418377}
{274204,619779}
{-216469,-597286}
{-419471,-735791}
{433623,451602}
{799239,-531032}
{-619111,858539}
{-336022,555012}
{929718,-736015}
{-990810,-613075}
{-96427,668673}
{-639834,-905264}
{-653294,814385}
{-477223,-317807}
{778468,715097}
{-826892,-88932}
{-280496,479030}
{217738,478583}
{-339464,-867062}
{107216,52753}
{129190,-768541}
{249552,258244}
{-299691,698009}
{761948,920192}
{-648886,832248}
{528325,699289}
{-13584,-365585}
{-338675,-918310}
{840974,111276}
{-328695,-674044}
{861360,-791969}
{-677492,702750}
{629880,-711501}
{364327,62991}
{495638,-535712}
{402412,-339176}
{-177870,-370910}
{-856971,653451}
{417006,378636}
{676078,976374}
{134881,-501161}
{617162,-914120}
{-548227,502611}
{940851,-712524}
{329238,-143785}
{128387,423038}
{-798154,195388}
{920058,-817188}
{378134,591146}
{919501,-145094}
{510594,-936866}
{7990,-88664}
{732823,-41936}
{-66684,-443601}
{303646,-857568}
{329250,797141}
{30103,221179}
{449050,-935830}
{50976,411089}
{40584,-433194}
{250702,671616}
{977103,-700723}
{-272705,-504451}
{270044,-309340}
{726878,-768250}
{-933792,654071}
{613774,562234}
{83412,464763}
{989058,-169999}
{-770095,-246908}
{466010,-163254}
{-89950,-554701}
{40112,-29753}
{-64029,958671}
{267483,-369159}
{-34832,-685009}
{7299,990050}
{-762728,-857192}
{-543816,-483292}
{-530039,487592}
{397942,-62553}
{-719669,176772}
{-60628,338047}
{-416852,-119349}
{915063,720044}
{901856,-425028}
{634680,597936}
{501810,-253369}
{-639871,-880223}
{-855647,-865192}
{-121425,-530234}
{263293,480927}
{-314480,374646}
{815205,-180505}
{-744992,651602}
{900967,-665053}
{-257893,-900378}
{602271,-66812}
{5805,780473}
{283627,447455}
{499369,-851442}
{658773,801456}
{328887,169064}
{-876529,-289191}
{897893,-766460}
{-992136,260857}
{-948817,-267039}
{-339728,-867550}
{573593,-672169}
{-269438,154628}
{445181,-865178}
{194809,974630}
{-380935,-629863}
{574360,889511}
{969049,792619}
{-908043,666372}
{-416158,232500}
{-849163,-839420}
{747820,134552}
{-895965,35329}
{-850271,-168469}
{74411,-503305}
{-251527,-870735}
{993091,196703}
{912645,131843}
{-853330,-574650}
{-712858,-543778}
{-818385,404221}
{-281298,648784}
{186167,-917668}
{-966512,152762}
{-844007,-887350}
{-297167,-36957}
{-27453,-751646}
{320809,867633}
{430030,363347}
{400041,585537}
{164219,-60900}
{-810106,90332}
{-563127,-929263}
{-33872,-529290}
{-96325,320136}
{613358,-593327}
{-496620,-754716}
{968805,519867}
{361955,300753}
{312929,-863172}
{-405766,254849}
{277152,-500964}
{583573,309111}
{-45866,758818}
{-377611,-476145}
{890784,34937}
{95278,-461798}
{-245275,-802762}
{635902,609180}
{-360248,805031}
{968243,-177751}
{-53578,75094}
{487101,-333103}
{65750,667622}
{222230,87734}
{-972889,637046}
{985106,558843}
{-393368,326173}
{-515014,-412717}
{958993,36780}
{-557550,342476}
{-256423,-302827}
{-658018,-464658}
{-799556,-276695}
{-384928,648514}
{236410,-176904}
{-515610,357015}
{595932,-439194}
{800678,-295280}
{-310267,-572753}
{988668,117690}
{176113,609883}
{-266922,857836}
{270081,-773256}
{-142859,778792}
{-561065,-929271}
{518155,-455842}
{822657,-315206}
{-103004,636546}
{382779,-358657}
{541823,-153034}
{-288230,116094}
{-93559,-206879}
{149870,-534865}
{-879200,-533445}
{56301,-550179}
{318545,956923}
{-470151,-869526}
{-50571,823878}
{985848,-806890}
{871856,-252529}
{186918,208249}
{-815101,286473}
{108844,67705}
{60375,165713}
{-340207,-542500}
{576297,766578}
{343347,-678550}
{-142735,755428}
{-755472,432769}
{223871,-478972}
{74394,797104}
{89804,183795}
{-516554,-857788}
{-611172,-691994}
{753332,206721}
{-820121,-744219}
{925826,-183163}
{414729,911}
{727313,660892}
{-279331,-765628}
{-89481,-407235}
{-284779,692172}
{-469771,-452676}
{-379540,-902483}
{-410881,-492061}
{266281,-351732}
{327986,-847709}
{375809,-403201}
{273750,-202943}
{428163,-633639}
{312506,-224824}
{-320208,552910}
{-731452,-593697}
{-574942,-28324}
{-513550,510244}
{526368,391649}
{-760880,395646}
{8205,-123975}
{671097,-49755}
{513105,-759392}
{166136,760789}
{-854016,644006}
{-183645,-293924}
{-104693,28630}
{280164,-91615}
{9058,-127579}
{601389,189959}
{298499,-877549}
{339439,-724213}
{-945950,598019}
{-559466,839608}
{96014,566732}
{-329513,-183046}
{-910936,537227}
{524959,145316}
{-713536,325092}
{-661202,-283428}
{454521,255245}
{-810389,-233644}
{89,801081}
{977222,705174}
{-331751,-918981}
{-488085,-198666}
{87162,-291594}
{-91561,-392514}
{493468,-115567}
{261110,728758}
{-668087,-109302}
{-32464,-570464}
{93874,-739424}
{553742,820579}
{980348,-426266}
{-205694,173489}
{-985038,-40016}
{-638267,-507348}
{-817112,988661}
{-468124,769289}
{48568,-662456}
{965302,798712}
{-595208,-536056}
{80756,-537063}
{517100,311942}
{-382852,980220}
{-472938,605038}
{46503,-21558}
{-883039,-734381}
{-685548,-312487}
{-795069,637156}
{-76587,-941620}
{-788296,-267554}
{109849,-889612}
{772152,560847}
{868976,-432225}
{-303417,118853}
{-736697,306719}
{-798384,-926090}
{636592,505657}
{-676768,114535}
{-57983,-406402}
{-17294,167288}
{586652,-675284}
{-803118,397534}
{-743977,-108577}
{-685127,454330}
{457874,265105}
{-770197,-439758}
{902286,-695313}
{-850408,-842850}
{980613,-364128}
{-312269,360542}
{-502913,635605}
{-59285,-28257}
{-86920,170300}
{710002,203795}
{-493218,568866}
{-761708,817684}
{929848,-563049}
{461972,-853862}
{948209,671424}
{616400,43152}
{-548542,-78935}
{860510,907829}
{-700337,-215852}
{925409,-241362}
{733847,-652872}
{-283500,160703}
{-514698,757702}
{-568807,-871416}
{51304,894391}
{-751580,-784041}
{-834413,432459}
{551928,-133576}
{996732,-481592}
{811680,30439}
{-29921,-494474}
{-625993,234576}
{-316240,-589111}
{486684,38235}
{-891544,80917}
{-663016,-247744}
{37940,976978}
{-927131,694497}
{-314056,74278}
{554861,-617345}
{-993320,-975920}
{98107,319599}
{484850,-470121}
{652008,326111}
{2699,539568}
{-829004,-405380}
{941535,601607}
{344011,-885996}
{-980907,854333}
{394569,-105662}
{-92946,-545783}
{-812148,-434902}
{-211981,-781676}
{-245532,221043}
{-703713,-201961}
{-78601,940553}
{-986871,-657020}
{968816,297857}
{-856965,806716}
{-752533,520957}
{771585,42498}
{8187,-722683}
{604691,315122}
{-568099,-779798}
{50559,973408}
{236498,599636}
{633403,-799573}
{-203466,387449}
{-660161,-510667}
{-693488,417246}
{194992,536969}
{506543,-836560}
{272083,613476}
{-599730,-639042}
{174961,-137568}
{-796143,-353478}
{473463,-643150}
{-615994,-502128}
{-311263,611076}
{-874364,-411907}
{-776102,-692027}
{-275493,-645964}
{806682,-828883}
{345547,577626}
{-83504,22958}
{-799670,-65981}
{601183,-447238}
{-643193,658991}
{403027,832125}
{-719085,-647474}
{780119,-647089}
{-214215,-463174}
{-963989,34215}
{-48218,-393090}
{-295753,643446}
{-736472,-876740}
{-171953,855018}
{-705452,-416803}
{-15846,648235}
{807105,46279}
{-634540,53249}
{217689,-332158}
{-842167,970888}
{796540,-755136}
{-74990,859530}
{-631143,303010}
{-858723,395549}
{99652,-473918}
{559321,935450}
{529005,-327452}
{-280210,949810}
{-664466,-45241}
{-833597,-556896}
{-699602,-630228}
{848150,-779649}
{504604,200492}
{-817732,877934}
{-922049,-717908}
{-22224,-797507}
{-409660,-463144}
{266017,-744995}
{398444,79440}
{-437997,-231393}
{-631154,-525025}
{86326,-795622}
{126843,-247631}
{218245,354256}
{924884,908161}
{355938,-193517}
{546876,-556474}
{650545,445973}
{738252,-249083}
{892456,-869952}
{-595233,-686865}
{199719,-478383}
{895519,-834003}
{-558198,42836}
{-337476,126945}
{-905677,306718}
{-62415,-987006}
{-637505,-492668}
{11539,83214}
{257651,-854361}
{-985140,923125}
{-752883,-685409}
{602270,-633878}
{-903773,151874}
{-14896,-439558}
{-514336,403638}
{-630258,-255633}
{-566949,-559578}
{-835356,132423}
{4161,-715596}
{667185,-632877}
{808569,-574144}
{960630,512865}
{982926,519340}
{440354,-538091}
{403465,596389}
{-135868,345558}
{-65142,-746462}
{-447626,-340283}
{-201088,116658}
{-965127,155181}
{583025,116733}
{-967993,-549180}
{-789491,-128778}
{-392879,65389}
{53989,227348}
{228187,-794808}
{-519057,109491}
{-577989,-469234}
{-457693,-702892}
{759291,-315643}
{-434639,474141}
{-918757,-322538}
{-906879,-511359}
{-154516,601340}
{736133,194754}
{-12502,993634}
{768456,414381}
{985596,595027}
{692944,284750}
{-645696,139944}
{-712673,-206139}
{-475969,-59260}
{555308,563221}
{436503,-556506}
{290378,-251203}
{737909,-733206}
{433897,-79550}
{662244,-669166}
{-389297,-760605}
{-719782,-632866}
{-110878,361400}
{789940,789338}
{925791,393290}
{-405271,131549}
{-181451,-474259}
{-467593,255609}
{-55728,277653}
{-354578,-569100}
{625105,49836}
{885404,50860}
{916714,511891}
{607646,-716651}
{373038,669790}
{852834,734519}
{-460112,-202572}
{441190,-317144}
{-739170,518338}
{243153,-472765}
{50347,518850}
{628095,965589}
{944909,878763}
{79276,-224804}
{-143952,391076}
{236046,169936}
{-112199,636787}
{-294471,552217}
{612706,-521311}
{825066,278931}
{-159276,86216}
{-289474,-814939}
{-256895,55567}
{-432733,23654}
{950777,937283}
{-806991,108565}
{-79065,660496}
{635274,192605}
{134119,-70100}
{589841,894018}
{609552,895175}
{693589,624216}
{-616268,-408112}
{-50998,842954}
{-183551,552694}
{-479874,-650374}
{24119,556085}
{-642512,-497694}
{436687,-331347}
{348695,293139}
{517062,-388220}
{-773426,216622}
{290120,-812801}
{33114,-902487}
{220646,708193}
{-464173,633721}
{-635754,-549634}
{920631,-467911}
{-581023,-42750}
{-124303,348424}
{-65688,-702918}
{661397,193035}
{100974,-263700}
{144114,-984506}
{-899487,-282816}
{-895412,-294808}
{-643858,386380}
{115431,-701084}
{414527,-798421}
{-46404,476466}
{-411184,-749525}
{-674585,853665}
{-305168,-912688}
{924208,232511}
{-63554,854725}
{-872195,878604}
{-996809,881145}
{186979,746090}
{97775,-671960}
{266642,-864930}
{217604,-290888}
{-503613,228375}
{660790,264651}
