{898669,-975226}
{-881389,-265433}
{-47802,191683}
{-5469,771520}
{-625201,-372297}
{913520,-888312}
{-109789,-417503}
{643412,782718}
{-7864,-162034}
{-192856,-761476}
{903878,-347990}
{720536,-106900}
{-444156,244724}
{-482144,-492563}
{572094,262575}
{-14199,276084}
{321734,911316}
{-902585,273749}
{662949,-752808}
{-259747,-247720}
{-375905,98577}
{-662478,486981}
{19705,-968576}
{831848,55967}
{719777,186672}
{677073,-465821}
{-119158,242005}
{-115336,-638306}
{-19167,867789}
{-846524,-434715}
{-659825,-937133}
{203447,-163753}
{-997382,582583}
{847845,-51473}
{785533,-382906}
{-301702,-910609}
{276595,-39512}
{688665,-26345}
{-433015,840162}
{-475077,-78185}
{-391339,-183910}
{227672,-724686}
{528862,-432572}
{647303,706932}
{158575,-565515}
{-776170,-714229}
{73837,-845647}
{76804,-539871}
{621600,-744325}
{-477664,862476}
{-95101,-874088}
{-675226,-184801}
{-364462,-718040}
{-860676,349815}
{-505158,1926}
{-674793,87103}
{784078,-145663}
{-818938,-305265}
{858684,-693442}
{278871,-404708}
{147057,-302463}
{592016,460746}
{-403239,-197635}
{522969,-374423}
{153165,605787}
{-83722,-404641}
{608905,513313}
{-13323,49608}
{-559268,686614}
{-41348,-766957}
{-128530,-41117}
{-286328,477046}
{972625,-930097}
{512384,-35750}
{-469819,-527564}
{985584,162022}
{966242,-733134}
{32993,970677}
{501680,813024}
{945834,-264500}
{409900,11803}
{566333,43572}
{-115116,-37792}
{666807,682550}
{-85449,159138}
{-434272,-279967}
{660108,-242458}
{-420058,561399}
{-220054,270741}
{-657755,341037}
{-922449,-392070}
{615644,-740804}
{-8801,-856535}
{548255,379024}
{-266490,332804}
{646941,553505}
{-985904,690381}
{175558,416530}
{-447246,-205762}
{-920219,-800982}
{-883506,372093}
{-831017,-158622}
{-409598,-821054}
{385628,-960533}
{-235802,533690}
{-200829,-546367}
{-795818,747964}
{735693,163555}
{243460,-569457}
{-323763,-690482}
{-738005,-308399}
{-404592,13664}
{-438343,88754}
{16072,-324247}
{424248,564925}
{-658155,816137}
{-301126,-13089}
{150671,-395249}
{215106,530809}
{9578,297091}
{128825,124093}
{57964,993786}
{-557549,197650}
{324188,672816}
{436379,287202}
{-907976,-994226}
{423098,-779778}
{-106505,-917598}
{499713,417226}
{527029,558389}
{-6720,-855780}
{288325,993222}
{733000,348753}
{999874,801055}
{386512,-892647}
{694700,-765347}
{-888933,752091}
{112083,-56037}
{103517,-968213}
{-958911,-153545}
{-760357,369883}
{-845277,220199}
{270269,761804}
{-960089,677881}
{228222,301981}
{295949,-459109}
{-788334,-309808}
{-388755,-476153}
{965652,-946340}
{-535473,-598214}
{316383,-807710}
{924167,-643993}
{-952561,-492694}
{-822492,-166474}
{897624,395068}
{-939637,-472488}
{-235757,-271714}
{622364,-95471}
{-748445,215219}
{-425769,825000}
{842184,-663837}
{-306495,-312499}
{-825094,527495}
{-97287,707016}
{455808,104274}
{367157,-16918}
{-658424,-788213}
{-128347,499521}
{967905,153705}
{-512168,515516}
{-692271,-138989}
{-598491,641102}
{-861734,169469}
{-500619,862992}
{-455524,761734}
{301415,-591401}
{-943112,-580718}
{248309,829540}
{-694743,-767137}
{333033,384531}
{-672113,942157}
{258887,850273}
{974852,853780}
{910260,582585}
{-708787,-345648}
{-296536,934675}
{-143716,-803012}
{628548,190015}
{260042,-510390}
{937320,788838}
{-9666,706937}
{-606298,773296}
{971324,-790679}
{-812631,-296137}
{945663,-951596}
{323690,-393369}
{-273782,-139660}
{-782920,-641772}
{-89615,-712512}
{675229,529496}
{641751,951411}
{-564027,410728}
{-902194,602399}
{22432,-846616}
{-936526,-25816}
{-951773,-30530}
{53295,774299}
{265849,-893575}
{142468,-880480}
{-648030,771682}
{690529,-294607}
{-406847,527676}
{-164496,-581316}
{-776578,194655}
{391888,-595395}
{-791248,602335}
{-370953,-195708}
{811021,87706}
{-859970,-251509}
{-560534,-647187}
{-369675,878298}
{877349,-13124}
{-78906,445472}
{-615989,359368}
{530620,42923}
{40965,-398688}
{-549941,-204750}
{466381,391003}
{117439,-19307}
{-897752,264023}
{-159451,-883811}
{-757301,-799380}
{-316753,-185059}
{-9931,-777154}
{752443,-707346}
{870840,-573379}
{404648,983066}
{662117,279057}
{-475082,115506}
{-924545,-75801}
{-794189,117515}
{-363106,-363992}
{913572,-852872}
{-206685,-291189}
{55934,913733}
{-39842,539619}
{-911155,302805}
{607011,-595495}
{157965,-205318}
{-126178,155118}
{196147,-342660}
{952739,-14165}
{-426602,-726725}
{-676185,-536867}
{958468,-941537}
{-736777,485176}
{768541,934312}
{-296804,-971468}
{97419,414282}
{466475,577330}
{911843,396520}
{-607397,-693865}
{291557,168341}
{-690932,441574}
{-862511,-872691}
{-465315,-689264}
{-676785,-649890}
{50492,73336}
{568273,68861}
{-921743,778533}
{-916627,-760133}
{600390,-585530}
{-96091,-177713}
{-339377,-161138}
{-489023,196421}
{75246,538849}
{739613,-856188}
{-888937,393154}
{100092,-450120}
{391991,200382}
{12368,567987}
{-763572,886408}
{577152,829109}
{871085,332916}
{-494167,-309051}
{-342323,-225665}
{892490,661398}
{-229933,291062}
{276873,631046}
{-625173,330038}
{-637280,-891721}
{-45603,-156060}
{450740,-478372}
{722814,-272477}
{-416820,-936782}
{832653,-926053}
{-123891,-186970}
{111550,988387}
{-713154,-294193}
{-660242,335525}
{-952363,422544}
{554932,-808978}
{-665895,-618504}
{-492102,-163571}
{-620155,-402055}
{904549,-517534}
{-826047,-413457}
{780480,597270}
{599878,-408018}
{-751833,-126561}
{481255,-471773}
{-326620,-626349}
{-504385,-715479}
{455844,63633}
{-44739,768178}
{263070,76561}
{940759,-536257}
{-257073,147317}
{-444881,748684}
{-254434,-236775}
{921935,-204750}
{222265,178167}
{263972,129222}
{-348791,-908490}
{-727362,-500641}
{626063,241262}
{-304047,360944}
{883477,354298}
{586972,-701689}
{345930,-594741}
{863200,655443}
{-966746,20040}
{527177,-197040}
{-724137,-742683}
{-465246,105163}
{-738345,672633}
{-55507,653053}
{-291175,-48337}
{8755,884866}
{-304711,188106}
{-981085,503627}
{-860448,251904}
{868436,-192915}
{853528,-450596}
{758368,865971}
{-388441,722417}
{136587,-372696}
{549186,-791687}
{-464448,753991}
{-541623,-169087}
{-399960,16837}
{-746049,718021}
{-89582,-72458}
{498298,-393719}
{-402157,-113183}
{-845717,-112}
{200182,-672058}
{-796996,-670362}
{-240146,-968943}
{191632,9110}
{789453,796236}
{-876443,959635}
{-474869,266941}
{977687,-186247}
{58154,438173}
{-736448,-570604}
{351233,481288}
